test_view,protocol,method,class_index,class_name,recall,predicted_fraction,auroc
native16@fz,view_specific,vector,1,right_fist,0.5211581291759465,0.3056017748197449,0.722784589420771
native16@fz,view_specific,vector,2,both_fists,0.3711111111111111,0.26455906821963393,0.6249388190851606
native16@fz,view_specific,vector,3,both_feet,0.3465783664459161,0.19079312257348863,0.6650788978824299
native16@fz,leave_one_view_out,temperature,0,left_fist,0.8514412416851441,0.6062118691070438,0.7588872197221165
native16@fz,leave_one_view_out,temperature,1,right_fist,0.6035634743875279,0.3771491957848031,0.7249706388396338
native16@fz,leave_one_view_out,temperature,2,both_fists,0.0,0.0,0.6134056007226739
native16@fz,leave_one_view_out,temperature,3,both_feet,0.03532008830022075,0.016638935108153077,0.658173493581882
native16@fz,leave_one_view_out,bias,0,left_fist,0.5099778270509978,0.26234054353854686,0.7527191382726093
native16@fz,leave_one_view_out,bias,1,right_fist,0.46547884187082406,0.2584581253466445,0.7224671270145704
native16@fz,leave_one_view_out,bias,2,both_fists,0.3488888888888889,0.24459234608985025,0.6292108072595878
native16@fz,leave_one_view_out,bias,3,both_feet,0.39072847682119205,0.23460898502495842,0.666648679584662
native16@fz,leave_one_view_out,vector,0,left_fist,0.5144124168514412,0.2762063227953411,0.753737585116572
native16@fz,leave_one_view_out,vector,1,right_fist,0.48775055679287305,0.2806433721575152,0.7224276498241621
native16@fz,leave_one_view_out,vector,2,both_fists,0.3377777777777778,0.23738214087631726,0.616843229038351
native16@fz,leave_one_view_out,vector,3,both_feet,0.3509933774834437,0.2057681641708264,0.6666454092061156
native16@pz,none,identity,0,left_fist,0.738359201773836,0.44980587909040487,0.7699195738595365
native16@pz,none,identity,1,right_fist,0.6258351893095768,0.3632834165280089,0.7362545357646896
native16@pz,none,identity,2,both_fists,0.017777777777777778,0.010537992235163616,0.6238137472283815
native16@pz,none,identity,3,both_feet,0.30022075055187636,0.17637271214642264,0.6684081432425804
native16@pz,view_specific,temperature,0,left_fist,0.738359201773836,0.44980587909040487,0.7640729345701203
native16@pz,view_specific,temperature,1,right_fist,0.6258351893095768,0.3632834165280089,0.7335223852118444
native16@pz,view_specific,temperature,2,both_fists,0.017777777777777778,0.010537992235163616,0.6151186663381785
native16@pz,view_specific,temperature,3,both_feet,0.30022075055187636,0.17637271214642264,0.6788063118305945
native16@pz,view_specific,bias,0,left_fist,0.4501108647450111,0.21353300055463117,0.7584804969889399
native16@pz,view_specific,bias,1,right_fist,0.48997772828507796,0.2562396006655574,0.7328989745799791
native16@pz,view_specific,bias,2,both_fists,0.38222222222222224,0.28286189683860236,0.6246382524431305
native16@pz,view_specific,bias,3,both_feet,0.41280353200883,0.2473655019412091,0.6819049955032295
native16@pz,view_specific,vector,0,left_fist,0.4523281596452328,0.21575152523571825,0.7573390493184115
native16@pz,view_specific,vector,1,right_fist,0.5256124721603563,0.2773155851358846,0.7329828636095969
native16@pz,view_specific,vector,2,both_fists,0.37333333333333335,0.27287853577371046,0.6169532725630287
native16@pz,view_specific,vector,3,both_feet,0.38852097130242824,0.23405435385468662,0.6811495380590302
native16@pz,leave_one_view_out,temperature,0,left_fist,0.738359201773836,0.44980587909040487,0.7624673637806846
native16@pz,leave_one_view_out,temperature,1,right_fist,0.6258351893095768,0.3632834165280089,0.7329746391949286
native16@pz,leave_one_view_out,temperature,2,both_fists,0.017777777777777778,0.010537992235163616,0.6122903835098956
native16@pz,leave_one_view_out,temperature,3,both_feet,0.30022075055187636,0.17637271214642264,0.6779462022729132
native16@pz,leave_one_view_out,bias,0,left_fist,0.28159645232815966,0.0992789794786467,0.7603484695417153
native16@pz,leave_one_view_out,bias,1,right_fist,0.30734966592427615,0.136993899057127,0.7266418399002543
