test_view,protocol,method,fit_views,n_validation,n_test,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,nll,ece_15,worst_class_recall,prediction_disagreement_from_identity
native32@car,leave_one_view_out,vector,native32@cz|native32@fz|native32@pz,5202,1803,0.5058236272878536,0.5062368389824188,0.5022917764103401,0.759903499073671,1.1539104810130256,0.03391664872796578,0.3090507726269316,0.35108153078202997
native32@cz,none,identity,native32@cz,1734,1803,0.48696616749861343,0.4871224268729844,0.4630801931694314,0.7478008850712968,1.4353541431690067,0.20284612297858426,0.19111111111111112,0.0
native32@cz,view_specific,temperature,native32@cz,1734,1803,0.48696616749861343,0.4871224268729844,0.4630801931694314,0.7459424925698922,1.1929436094799482,0.05399219795986137,0.19111111111111112,0.0
native32@cz,view_specific,bias,native32@cz,1734,1803,0.5019412090959512,0.5022020145987439,0.5018136954770167,0.74701955007187,1.3631620905261335,0.1860989793084093,0.40176600441501104,0.3089295618413755
native32@cz,view_specific,vector,native32@cz,1734,1803,0.49694952856350527,0.4972461974857416,0.49556516897541547,0.7458074907275041,1.1682618315604174,0.0362294999154059,0.37748344370860926,0.2995008319467554
native32@cz,leave_one_view_out,temperature,native32@car|native32@fz|native32@pz,5202,1803,0.48696616749861343,0.4871224268729844,0.4630801931694314,0.745722707593595,1.196194258910873,0.06319884861525364,0.19111111111111112,0.0
native32@cz,leave_one_view_out,bias,native32@car|native32@fz|native32@pz,5202,1803,0.49584026622296173,0.49607862286484605,0.4966159162610776,0.7462941154154173,1.3830904991786455,0.1985528675133046,0.3946784922394678,0.3410981697171381
native32@cz,leave_one_view_out,vector,native32@car|native32@fz|native32@pz,5202,1803,0.4986134220743206,0.49888590508978103,0.4981404125929048,0.7452571593466254,1.1732388576885842,0.03775261599270647,0.3968957871396896,0.3333333333333333
native32@fz,none,identity,native32@fz,1734,1803,0.4353854686633389,0.43575096182035483,0.36675867830925857,0.748850094755638,1.6576747873791147,0.29247989421855053,0.05333333333333334,0.0
native32@fz,view_specific,temperature,native32@fz,1734,1803,0.4353854686633389,0.43575096182035483,0.36675867830925857,0.7495986907859971,1.2322330325858681,0.054524519382960844,0.05333333333333334,0.0
native32@fz,view_specific,bias,native32@fz,1734,1803,0.5074875207986689,0.5077426630048566,0.507602447057199,0.751688125518568,1.3056622729703389,0.16438528285877865,0.38631346578366443,0.4331669439822518
native32@fz,view_specific,vector,native32@fz,1734,1803,0.5074875207986689,0.5077819676621119,0.5061449765315791,0.7508623035877994,1.156667392914822,0.03473530874103777,0.36644591611479027,0.4248474764281753
native32@fz,leave_one_view_out,temperature,native32@car|native32@cz|native32@pz,5202,1803,0.4353854686633389,0.43575096182035483,0.36675867830925857,0.7501921954110428,1.228701588962679,0.056595927977370716,0.05333333333333334,0.0
native32@fz,leave_one_view_out,bias,native32@car|native32@cz|native32@pz,5202,1803,0.4858569051580699,0.4863679997424092,0.45937244040559566,0.7501556959140575,1.4165796622389422,0.19953983776179843,0.18984547461368653,0.20077648363838047
native32@fz,leave_one_view_out,vector,native32@car|native32@cz|native32@pz,5202,1803,0.4819744869661675,0.482498809458233,0.4548880038818371,0.7502257375525366,1.182573259312163,0.0331625973950314,0.18543046357615894,0.20465890183028287
native32@pz,none,identity,native32@pz,1734,1803,0.4819744869661675,0.4816731239883193,0.45896811354617406,0.7525222579244533,1.4714793631199155,0.23518757068504687,0.13555555555555557,0.0
native32@pz,view_specific,temperature,native32@pz,1734,1803,0.4819744869661675,0.4816731239883193,0.45896811354617406,0.7512935352313348,1.187555158133829,0.0550216373509754,0.13555555555555557,0.0
native32@pz,view_specific,bias,native32@pz,1734,1803,0.502495840266223,0.5025696978432557,0.5062388465696455,0.7541228010561335,1.3143055223347762,0.180505812275213,0.4745011086474501,0.26622296173044924
native32@pz,view_specific,vector,native32@pz,1734,1803,0.5013865779256794,0.501461061367136,0.5051083072220748,0.7524394649785875,1.1486853747973602,0.05171119807488595,0.4666666666666667,0.2584581253466445
native32@pz,leave_one_view_out,temperature,native32@car|native32@cz|native32@fz,5202,1803,0.4819744869661675,0.4816731239883193,0.45896811354617406,0.7512430635632994,1.1882303933170613,0.05655444251387606,0.13555555555555557,0.0
native32@pz,leave_one_view_out,bias,native32@car|native32@cz|native32@fz,5202,1803,0.480865224625624,0.480554559647695,0.48234319515512175,0.7505452434690519,1.4541999721942847,0.2309438629805392,0.3458980044345898,0.2601220188574598
native32@pz,leave_one_view_out,vector,native32@car|native32@cz|native32@fz,5202,1803,0.48863006100942874,0.4883458715360402,0.490362544524926,0.7512054158146273,1.1750807630221862,0.04290421862051415,0.35476718403547675,0.25568496949528563
