method,test_view,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,class_0_recall_mean,class_1_recall_mean,class_2_recall_mean,class_3_recall_mean
gsra,native16@car,0.44562346537531355,0.008824378863513,0.29237426750867607,0.46513409961685825,0.4405864197530864,0.35714285714285715,0.5196304849884527
gsra,native16@cz,0.434893037844148,0.005564662413952265,0.2778026682596575,0.4628352490421456,0.47608024691358025,0.3156682027649769,0.48498845265588914
gsra,native16@fz,0.437202751736997,0.01731507313388238,0.2954535756955112,0.421455938697318,0.44290123456790126,0.36482334869431643,0.5196304849884527
gsra,native16@pz,0.4458270237084543,0.0050719993185985865,0.2885446890823235,0.464367816091954,0.44753086419753085,0.34639016897081415,0.5250192455735181
gsra,native32@car,0.48483099104268185,0.02199887810441251,0.35163494908118564,0.5088122605363985,0.47685185185185186,0.3986175115207373,0.5550423402617398
gsra,native32@cz,0.46891426967636446,0.023377913249017872,0.32318512829265517,0.4727969348659004,0.4753086419753086,0.37019969278033793,0.5573518090839107
gsra,native32@fz,0.4704796990772994,0.020904305090079574,0.3086455310917677,0.47356321839080456,0.49845679012345684,0.34715821812596004,0.5627405696689761
gsra,native32@pz,0.4796457253745247,0.021345217324232633,0.35467869943676394,0.4957854406130268,0.47222222222222227,0.4009216589861751,0.5496535796766744
gsra,pz,0.5391264031527414,0.004253741192977662,0.4120592545509119,0.5187739463601532,0.5717592592592592,0.4339477726574501,0.632024634334103
joint_multiview_ce,car,0.5500344670692267,0.008875945197580297,0.4420078543225381,0.5670498084291188,0.5871913580246914,0.4600614439324116,0.5858352578906851
joint_multiview_ce,cz,0.5254740802433592,0.013036058544749407,0.3786482334869432,0.5379310344827587,0.5756172839506173,0.3786482334869432,0.6096997690531177
joint_multiview_ce,fz,0.5408240590654242,0.0177732765168954,0.4235569367432587,0.5509578544061302,0.5933641975308642,0.4508448540706606,0.5681293302540416
joint_multiview_ce,native16@car,0.44272577438301947,0.00447850857639817,0.33395559538032654,0.5080459770114942,0.4845679012345679,0.33410138248847926,0.44418783679753654
joint_multiview_ce,native16@cz,0.43507595261494253,0.006166096641829133,0.2980030721966206,0.5011494252873563,0.5185185185185185,0.2980030721966206,0.4226327944572748
joint_multiview_ce,native16@fz,0.4423819421187578,0.024094063739230693,0.3308905103259942,0.46053639846743294,0.4714506172839506,0.34485407066052226,0.4926866820631255
joint_multiview_ce,native16@pz,0.446213466116611,0.010729964320321443,0.3225806451612903,0.49655172413793097,0.4907407407407407,0.3225806451612903,0.47498075442648197
joint_multiview_ce,native32@car,0.48460947853914044,0.021571306533228824,0.37896928867650764,0.550191570881226,0.5146604938271605,0.4039938556067588,0.4695919938414164
joint_multiview_ce,native32@cz,0.47178489268375245,0.01750224743330509,0.3816670933606418,0.5019157088122604,0.51929012345679,0.3840245775729647,0.4819091608929946
joint_multiview_ce,native32@fz,0.47946948145619084,0.023578368578828245,0.3313449197007269,0.5318007662835249,0.5293209876543209,0.3579109062980031,0.49884526558891457
joint_multiview_ce,native32@pz,0.48326354506502067,0.01890655227913897,0.3981776126974667,0.5371647509578544,0.5,0.41321044546851,0.4826789838337182
joint_multiview_ce,pz,0.5429317228525821,0.0032271892886921306,0.4320161201633302,0.5494252873563218,0.5810185185185185,0.4577572964669739,0.5835257890685143
