held_out_reference,source_view,montage,condition,batch_size,repeat,topology_bias,raw_candidate_bias,source_oracle_bias,target_reference_labels_used
c1,native16@C3,native16,skew_0.7_class_3,128,2,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.2615905848862478, -2.015846865150216, 1.6582932415119653]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_3,128,3,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.26503378192482074, -1.9842769757816852, 1.5950397911023886]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_3,128,4,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.22987685540893876, -1.9636871572424421, 1.5073898794777494]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C4,native16,random,32,0,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.896199174264496, -0.5497374439234695, 1.7728280092092084]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,random,32,1,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-2.160783870535225, -0.290589642492669, 1.6841599327779773]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,random,32,2,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.8576897361935851, -0.8130058003577498, 1.7756097872572525]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,random,32,3,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.6190606705217172, -0.686252937914005, 1.7615824159585356]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,random,32,4,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.822914390911352, -0.8271348183223731, 1.6662943854435197]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,balanced,128,0,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-2.024429901242198, -0.5493578771383352, 1.901060975139417]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,balanced,128,1,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.8150106922944758, -0.86240470748659, 1.7251621816550693]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,balanced,128,2,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.8394672605251552, -0.8267612945503993, 1.8812795008113636]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,balanced,128,3,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.7593746922606672, -0.7371047432020501, 1.846086118762597]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,balanced,128,4,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-1.8262890729457504, -0.6945197191195635, 1.7136419202226238]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_0,128,0,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-2.3903018666167757, -0.4075195957246651, 1.811678769342637]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_0,128,1,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-2.370080407408974, -0.19489922790303202, 1.7560781708290178]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_0,128,2,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-2.495474212820589, -0.13464597902180667, 1.7978118987789222]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
c1,native16@C4,native16,skew_0.7_class_0,128,3,"[-1.749555565895206, -0.906569277450189, 1.8477213467065874]","[-2.4437550424387666, -0.20421264023762262, 1.8417018699936913]","[-1.9111011176001866, -0.6114281085256773, 1.785322146167171]",False
