probe_seed,comparison,dominant_class,class_name,metric,candidate,baseline,candidate_cluster_mean,baseline_cluster_mean,candidate_minus_baseline,ci_lower,ci_upper,confidence,n_resamples,n_repeats,n_reference_clusters,static_baseline_broadcast_across_repeats,direction,noninferiority_tolerance,point_improves,interval_confirms_improvement,point_within_tolerance,interval_confirms_noninferiority,material_harm_detected
42,severe_left_fist,0.0,left_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.0837923783643892,0.12609277950310557,-0.042300401138716366,-0.05165281551932368,-0.032006453804347836,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
21,severe_left_fist,0.0,left_fist,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.14385013068716235,0.1563889497341981,-0.012538819047035753,-0.030679354850774238,0.0038456325305312672,0.95,5000,20,32,True,lower,0.0,True,False,True,False,False
42,severe_left_fist,0.0,left_fist,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.16493556489507655,0.19068730921548682,-0.025751744320410264,-0.047121543055654455,-0.005777625927719177,0.95,5000,20,32,True,lower,0.0,True,True,True,True,False
21,severe_left_fist,0.0,left_fist,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.4284344402389578,0.4253485701345756,0.0030858701043823275,0.0015269181466744245,0.0046211176754442735,0.95,5000,20,32,True,higher,0.01,True,True,True,True,False
42,severe_left_fist,0.0,left_fist,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.4356498150664251,0.4356991890959282,-4.937402950311396e-05,-0.0016916839199447998,0.0016681830680641743,0.95,5000,20,32,True,higher,0.01,False,False,True,True,False
21,severe_left_fist,0.0,left_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.15901079408212557,0.126043823326432,0.032966970755693596,0.01845392970367496,0.04794549312025536,0.95,5000,20,32,True,lower,0.01,False,False,False,False,True
42,severe_left_fist,0.0,left_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.0837923783643892,0.10192913216011039,-0.01813675379572119,-0.02921159662914079,-0.006958228196169787,0.95,5000,20,32,True,lower,0.01,True,True,True,True,False
21,severe_right_fist,1.0,right_fist,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.19348255043737464,0.3651099319406917,-0.17162738150331708,-0.1990768595116135,-0.1399530981954816,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
42,severe_right_fist,1.0,right_fist,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.173556065724549,0.2153857131998204,-0.04182964747527144,-0.0747687937673731,-0.0033716562190157116,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
21,severe_right_fist,1.0,right_fist,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.4296295262896825,0.4284236434610076,0.0012058828286749482,-0.000516435769280529,0.0029116810758497177,0.95,5000,20,32,False,higher,0.01,True,False,True,True,False
42,severe_right_fist,1.0,right_fist,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.43460851233609377,0.43277299268892333,0.0018355196471704616,-1.2177377178224308e-05,0.003654969146286239,0.95,5000,20,32,False,higher,0.01,True,False,True,True,False
21,severe_right_fist,1.0,right_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.18777853260869565,0.20251773852657,-0.014739205917874398,-0.02178583424991374,-0.007254214921928922,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
42,severe_right_fist,1.0,right_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.08831020315734987,0.09739319142512075,-0.009082988267770872,-0.016952881027864044,-4.5508216873712916e-05,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
21,severe_right_fist,1.0,right_fist,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.19348255043737464,0.1563889497341981,0.03709360070317651,0.007057268924256654,0.06546462213807493,0.95,5000,20,32,True,lower,0.0,False,False,False,False,True
42,severe_right_fist,1.0,right_fist,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.173556065724549,0.19068730921548682,-0.017131243490937843,-0.038205871596186235,0.002851523758245422,0.95,5000,20,32,True,lower,0.0,True,False,True,False,False
