view,montage,reference,n_fit_trials,oracle_bias_objective,oracle_bias_optimizer_success,oracle_bias_parameters,topology_reference_x,topology_reference_y,topology_centroid_x,topology_centroid_y,topology_relative_x,topology_relative_y,topology_centroid_distance,topology_absolute_relative_x,topology_absolute_relative_y,topology_relative_xy,topology_relative_x_squared,topology_relative_y_squared,topology_log_montage_size,topology_car_flag,logit_centered_logit_mean_0,logit_centered_logit_mean_1,logit_centered_logit_mean_2,logit_centered_logit_mean_3,logit_centered_logit_std_0,logit_centered_logit_std_1,logit_centered_logit_std_2,logit_centered_logit_std_3,logit_predicted_fraction_0,logit_predicted_fraction_1,logit_predicted_fraction_2,logit_predicted_fraction_3,logit_confidence_mean,logit_confidence_std,logit_entropy_mean,logit_entropy_std
native32@CP3,native32,cp3,900,1.594658617884837,True,"[0.1593704289460924, -1.3035338546409536, 1.0163048406857749]",-0.55,-0.25,0.0,-0.0859375,-0.55,-0.1640625,0.573948171794501,0.55,0.1640625,0.090234375,0.30250000000000005,0.02691650390625,1.0,0.0,-0.16060880664813643,1.0252022507189151,-0.8640511059592892,-0.0005423381114895972,1.79415430277405,1.8167471701709634,1.066691065325432,1.3059916451642095,0.2111111111111111,0.5333333333333333,0.056666666666666664,0.1988888888888889,0.7203218728666962,0.20111697602519726,0.7186356929191864,0.393402392648265
native32@CP4,native32,cp4,900,1.5181271015328055,True,"[-1.3125430827529956, 0.3255057008524155, 1.7573647439519626]",0.55,-0.25,0.0,-0.0859375,0.55,-0.1640625,0.573948171794501,0.55,0.1640625,-0.090234375,0.30250000000000005,0.02691650390625,1.0,0.0,1.258963147955688,-0.47048730562622143,-1.589649193932354,0.8011733516028875,1.7561190915998215,1.847131919222831,1.0618789252236815,1.379621280399908,0.44333333333333336,0.19666666666666666,0.015555555555555555,0.34444444444444444,0.7135736489631775,0.1991585745088149,0.6996605127822462,0.3804382245005218
native32@CP5,native32,cp5,900,1.516181329270367,True,"[0.1219303739676091, -1.0827052073332724, 1.1454855891446274]",-0.85,-0.25,0.0,-0.0859375,-0.85,-0.1640625,0.8656884566091025,0.85,0.1640625,0.13945312499999998,0.7224999999999999,0.02691650390625,1.0,0.0,-0.11868650670939436,0.8197515057394695,-1.0233048573296724,0.3222398582995973,1.805874633076647,1.779499840667105,1.0479224043231357,1.2060006910463905,0.22,0.47333333333333333,0.04555555555555556,0.2611111111111111,0.6967421932439045,0.20388804711663566,0.760295874375551,0.39616486113327254
native32@CP6,native32,cp6,900,1.5349677957265586,True,"[-1.2469732874633859, 0.3792202409144226, 1.8121184277438473]",0.85,-0.25,0.0,-0.0859375,0.85,-0.1640625,0.8656884566091025,0.85,0.1640625,-0.13945312499999998,0.7224999999999999,0.02691650390625,1.0,0.0,1.2263597223398068,-0.5485875141188605,-1.6616502956717483,0.983878087450802,1.7849846342291724,1.8448966036835068,1.0585652786589033,1.356058431888321,0.4111111111111111,0.19,0.014444444444444444,0.3844444444444444,0.7124504415098974,0.19597658191796594,0.7013097332870896,0.3762908870752843
native32@CPz,native32,cpz,900,1.5476753913841208,True,"[-0.7203639019673224, -0.2898058054600111, 1.662170559332416]",0.0,-0.25,0.0,-0.0859375,0.0,-0.1640625,0.1640625,0.0,0.1640625,-0.0,0.0,0.02691650390625,1.0,0.0,0.6860519867759043,0.10026612450019456,-1.4366469780939062,0.6503288668178073,1.8056557190090625,1.8423991574921548,1.080619033105543,1.5062310255911788,0.3377777777777778,0.30444444444444446,0.024444444444444446,0.3333333333333333,0.7201950557869097,0.19811711612948027,0.7005439640987039,0.3837838920024994
native32@Cz,native32,cz,900,1.52397587462487,True,"[-0.8481429601155185, -0.5953986962585368, 1.6638140563941755]",0.0,0.0,0.0,-0.0859375,0.0,0.0859375,0.0859375,0.0,0.0859375,0.0,0.0,0.00738525390625,1.0,0.0,0.8123054731404409,0.4040038215343116,-1.4746486584226497,0.25833936374789723,1.7370289263919143,1.7424408184798879,1.0404862775988477,1.4552571200683713,0.3711111111111111,0.37222222222222223,0.01888888888888889,0.23777777777777778,0.7192700546948173,0.1991106724048176,0.7111302758145879,0.3868016470542677
native32@F1,native32,f1,900,1.4563990747876294,True,"[-1.164292026598031, -1.0172439795383192, 1.9388659693409869]",-0.25,0.5,0.0,-0.0859375,-0.25,0.5859375,0.6370421916217559,0.25,0.5859375,-0.146484375,0.0625,0.34332275390625,1.0,0.0,1.117019688783524,0.7389225918991077,-1.7462879086115086,-0.10965437207112295,1.7210235367480196,1.7435854970583071,0.9051478385072438,1.1470307771433952,0.45111111111111113,0.4222222222222222,0.0033333333333333335,0.12333333333333334,0.7267687437346073,0.1937706219907001,0.6952216313886712,0.3835604429830141
native32@F2,native32,f2,900,1.4662798224124687,True,"[-1.9295404069891977, -0.7597160782765774, 2.365673156429123]",0.25,0.5,0.0,-0.0859375,0.25,0.5859375,0.6370421916217559,0.25,0.5859375,0.146484375,0.0625,0.34332275390625,1.0,0.0,1.7827943377458078,0.5284484651190643,-2.165299980449749,-0.14594282241512296,1.7403138646989382,1.7144158614047094,0.9307951764480372,1.1685514057502038,0.5711111111111111,0.33666666666666667,0.0011111111111111111,0.09111111111111111,0.7641651630640452,0.18637533135836842,0.6082768900686883,0.3661113054809361
native32@F3,native32,f3,900,1.5296509796879798,True,"[-0.7994977076955129, -0.9962313864891085, 1.8245772574100334]",-0.55,0.5,0.0,-0.0859375,-0.55,0.5859375,0.8036309811762175,0.55,0.5859375,-0.322265625,0.30250000000000005,0.34332275390625,1.0,0.0,0.7291352900560014,0.7207291773714436,-1.6275228793507752,0.1776584119233303,1.824880134077935,1.7620008960598261,0.9421029721451056,1.158934219932569,0.35888888888888887,0.4311111111111111,0.011111111111111112,0.1988888888888889,0.7172994445123524,0.20096546993575914,0.7142400997288846,0.3937018022760469
native32@F4,native32,f4,900,1.480871687744582,True,"[-1.9452188545222369, -0.7182631277283407, 2.4305383665140248]",0.55,0.5,0.0,-0.0859375,0.55,0.5859375,0.8036309811762175,0.55,0.5859375,0.322265625,0.30250000000000005,0.34332275390625,1.0,0.0,1.8124857954693854,0.46348290288122374,-2.209129330309677,-0.06683936804093213,1.7432672861292922,1.744043515928794,0.8974589390188427,1.1969428976322367,0.58,0.31222222222222223,0.0033333333333333335,0.10444444444444445,0.7630474784488638,0.18676710902146176,0.6067217499175351,0.3652982218356515
native32@FC1,native32,fc1,900,1.5041300209491306,True,"[-0.643153634809031, -0.8313993323859471, 1.6831119127842178]",-0.25,0.25,0.0,-0.0859375,-0.25,0.3359375,0.41875291510179363,0.25,0.3359375,-0.083984375,0.0625,0.11285400390625,1.0,0.0,0.623272317620253,0.6145241001478603,-1.5200595745048486,0.28226315673673524,1.7501665396707649,1.7053119912022334,1.0056151271571494,1.2896284752232434,0.3333333333333333,0.4166666666666667,0.017777777777777778,0.23222222222222222,0.7072590317097547,0.2023978179756048,0.7308717006472684,0.38945722985004794
native32@FC2,native32,fc2,900,1.4983502131206334,True,"[-1.6514204328602593, -0.285541576176965, 1.9383652328070928]",0.25,0.25,0.0,-0.0859375,0.25,0.3359375,0.41875291510179363,0.25,0.3359375,0.083984375,0.0625,0.11285400390625,1.0,0.0,1.52961858592022,0.13700003588287574,-1.7711185611647347,0.10449993936163891,1.7389883909043033,1.6765783393620866,1.0147244740173444,1.2903226241120975,0.5433333333333333,0.2877777777777778,0.0077777777777777776,0.16111111111111112,0.7321888219931181,0.19509154312885899,0.6795747116794445,0.3855023984138609
native32@FC3,native32,fc3,900,1.5233102706281945,True,"[-0.17615742549699495, -1.132186649303404, 1.570338057126619]",-0.55,0.25,0.0,-0.0859375,-0.55,0.3359375,0.6444796380850601,0.55,0.3359375,-0.18476562500000002,0.30250000000000005,0.11285400390625,1.0,0.0,0.15677585126599297,0.9017336572621328,-1.4146268239764808,0.35611731544835495,1.7627132633735605,1.7146639058253292,1.0046109529959966,1.264813245129566,0.2477777777777778,0.49666666666666665,0.013333333333333334,0.24222222222222223,0.7157716637954011,0.19723427447694264,0.719064600704296,0.3825373660029473
native32@FC4,native32,fc4,900,1.4985787767244307,True,"[-1.91334226878351, 0.15496456674800374, 1.8917159618098713]",0.55,0.25,0.0,-0.0859375,0.55,0.3359375,0.6444796380850601,0.55,0.3359375,0.18476562500000002,0.30250000000000005,0.11285400390625,1.0,0.0,1.7284774236692788,-0.22222870135252984,-1.73510231366989,0.22885359135314098,1.7557674141044766,1.5973738209977,1.0110353000531,1.316307909382168,0.6111111111111112,0.19444444444444445,0.013333333333333334,0.1811111111111111,0.7345430017851067,0.19799072120288586,0.6645984019048514,0.3836667771092771
native32@FC5,native32,fc5,900,1.4492202408108807,True,"[0.2779430354888752, -0.6651567282753723, 1.144221742719691]",-0.85,0.25,0.0,-0.0859375,-0.85,0.3359375,0.9139770259181846,0.85,0.3359375,-0.285546875,0.7224999999999999,0.11285400390625,1.0,0.0,-0.2819544181007788,0.46757294356331436,-1.0217071410193521,0.8360886155568167,1.3302642559474436,1.5326073729945684,0.9780702842948084,1.1520697423920194,0.17,0.3655555555555556,0.05,0.41444444444444445,0.6519070293147383,0.18831924038121087,0.8443647168000742,0.34048970913238746
native32@FC6,native32,fc6,900,1.4696982617729057,True,"[-1.5366433526346162, 0.7231987480284104, 1.247752948860808]",0.85,0.25,0.0,-0.0859375,0.85,0.3359375,0.9139770259181846,0.85,0.3359375,0.285546875,0.7224999999999999,0.11285400390625,1.0,0.0,1.3565090192419786,-0.7239779955003824,-1.1446170615518672,0.512086037810271,1.795402532484741,1.4454478017483932,1.0432116604095711,1.2567736405928431,0.5388888888888889,0.13666666666666666,0.044444444444444446,0.28,0.6952285011142579,0.2053650542628812,0.7554350604160919,0.398706042301924
native32@Fz,native32,fz,900,1.4053422647973615,True,"[-1.613138837769183, -0.9341981073945163, 2.079441449893236]",0.0,0.5,0.0,-0.0859375,0.0,0.5859375,0.5859375,0.0,0.5859375,0.0,0.0,0.34332275390625,1.0,0.0,1.5079846877423633,0.6875488797000919,-1.8782161841908884,-0.31731738325156683,1.6914261565805542,1.6937403779649771,0.8823425988405388,1.1177268565307377,0.5311111111111111,0.3888888888888889,0.0033333333333333335,0.07666666666666666,0.7472275178213903,0.19031156429894427,0.6486101624867172,0.3745871383833778
