target_view,montage,held_out_reference,method,class_index,class_name,car_recall,target_recall,absolute_recall_gap
native16@FC4,native16,fc4,pooled_bias,2,both_fists,0.4857142857142857,0.14761904761904762,0.3380952380952381
native16@FC4,native16,fc4,pooled_bias,3,both_feet,0.4106280193236715,0.19806763285024154,0.21256038647342995
native16@FC4,native16,fc4,topology_ridge,0,left_fist,0.4523809523809524,0.4714285714285714,0.019047619047619035
native16@FC4,native16,fc4,topology_ridge,1,right_fist,0.34299516908212563,0.27053140096618356,0.07246376811594207
native16@FC4,native16,fc4,topology_ridge,2,both_fists,0.4857142857142857,0.37142857142857144,0.11428571428571427
native16@FC4,native16,fc4,topology_ridge,3,both_feet,0.4106280193236715,0.4492753623188406,0.03864734299516909
native16@FC4,native16,fc4,logit_ridge,0,left_fist,0.4523809523809524,0.46190476190476193,0.009523809523809545
native16@FC4,native16,fc4,logit_ridge,1,right_fist,0.34299516908212563,0.357487922705314,0.01449275362318836
native16@FC4,native16,fc4,logit_ridge,2,both_fists,0.4857142857142857,0.3333333333333333,0.1523809523809524
native16@FC4,native16,fc4,logit_ridge,3,both_feet,0.4106280193236715,0.4057971014492754,0.004830917874396101
native16@FC4,native16,fc4,combined_ridge,0,left_fist,0.4523809523809524,0.46190476190476193,0.009523809523809545
native16@FC4,native16,fc4,combined_ridge,1,right_fist,0.34299516908212563,0.34299516908212563,0.0
native16@FC4,native16,fc4,combined_ridge,2,both_fists,0.4857142857142857,0.3476190476190476,0.1380952380952381
native16@FC4,native16,fc4,combined_ridge,3,both_feet,0.4106280193236715,0.4057971014492754,0.004830917874396101
native16@FC4,native16,fc4,oracle,0,left_fist,0.4523809523809524,0.49523809523809526,0.04285714285714287
native16@FC4,native16,fc4,oracle,1,right_fist,0.34299516908212563,0.357487922705314,0.01449275362318836
native16@FC4,native16,fc4,oracle,2,both_fists,0.4857142857142857,0.3380952380952381,0.1476190476190476
native16@FC4,native16,fc4,oracle,3,both_feet,0.4106280193236715,0.3961352657004831,0.014492753623188415
native16@Fz,native16,fz,identity,0,left_fist,0.7904761904761904,0.8523809523809524,0.06190476190476191
native16@Fz,native16,fz,identity,1,right_fist,0.6135265700483091,0.5024154589371981,0.11111111111111105
native16@Fz,native16,fz,identity,2,both_fists,0.004761904761904762,0.0,0.004761904761904762
native16@Fz,native16,fz,identity,3,both_feet,0.01932367149758454,0.06280193236714976,0.043478260869565216
native16@Fz,native16,fz,global_mean,0,left_fist,0.4523809523809524,0.6857142857142857,0.23333333333333334
native16@Fz,native16,fz,global_mean,1,right_fist,0.34299516908212563,0.4444444444444444,0.10144927536231879
native16@Fz,native16,fz,global_mean,2,both_fists,0.4857142857142857,0.23333333333333334,0.2523809523809524
native16@Fz,native16,fz,global_mean,3,both_feet,0.4106280193236715,0.17391304347826086,0.23671497584541062
native16@Fz,native16,fz,pooled_bias,0,left_fist,0.4523809523809524,0.6571428571428571,0.20476190476190476
native16@Fz,native16,fz,pooled_bias,1,right_fist,0.34299516908212563,0.4396135265700483,0.09661835748792269
native16@Fz,native16,fz,pooled_bias,2,both_fists,0.4857142857142857,0.3,0.18571428571428572
