target_view,montage,held_out_reference,method,n_bias_fit_subjects,n_evaluation_subjects,n_training_views,target_reference_labels_used,target_bias_rmse,car_anchor_balanced_accuracy,max_class_recall_gap_to_car,mean_class_recall_gap_to_car,prediction_disagreement_from_identity,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,nll,ece_15,worst_class_recall
native32@F1,native32,f1,logit_ridge,10,9,49,False,0.018894650370159714,0.5127329192546584,0.05714285714285716,0.032211870255348524,0.49760191846522783,0.48081534772182255,0.48052104899930986,0.48395036672051783,0.7350793694186142,1.381131441628555,0.19748119419125768,0.4057971014492754
native32@F1,native32,f1,combined_ridge,10,9,49,False,0.023782091355010006,0.5127329192546584,0.05797101449275366,0.035938578329882676,0.4892086330935252,0.47721822541966424,0.47679434092477574,0.47978266239159995,0.7351995479677116,1.3831686660340232,0.20164987276082114,0.357487922705314
native32@F1,native32,f1,oracle,10,9,49,True,0.0,0.5127329192546584,0.05714285714285716,0.031021394064872324,0.49640287769784175,0.48201438848920863,0.48171152518978605,0.4854173248648197,0.7351968862087569,1.3808281629603423,0.19710634276141878,0.4057971014492754
native32@F2,native32,f2,identity,10,9,49,False,1.8162878061993473,0.4616459627329193,0.21428571428571427,0.10992063492063492,0.0,0.4088729016786571,0.40886818495514143,0.3438211652530458,0.738070496172613,1.7174624891213155,0.31939237794820846,0.023809523809523808
native32@F2,native32,f2,global_mean,10,9,49,False,0.6582266037195874,0.5127329192546584,0.24761904761904763,0.11081780538302279,0.3261390887290168,0.4904076738609113,0.49007936507936506,0.4873873943516801,0.7444828219284741,1.3216466541860823,0.16811824050719684,0.3961352657004831
native32@F2,native32,f2,pooled_bias,10,9,49,False,0.6025279031466348,0.5127329192546584,0.22857142857142854,0.10005175983436852,0.34652278177458035,0.49160671462829736,0.49125258799171845,0.4894411183230026,0.7447844819019018,1.3176263899051932,0.1698299353178407,0.40096618357487923
native32@F2,native32,f2,topology_ridge,10,9,49,False,0.25527764360988037,0.5127329192546584,0.09999999999999998,0.03222912353347136,0.48081534772182255,0.4952038369304556,0.49496204278812983,0.4968709256745818,0.7451210937337939,1.3179351562442958,0.16949788327043225,0.42995169082125606
native32@F2,native32,f2,logit_ridge,10,9,49,False,0.028405379824324763,0.5127329192546584,0.02857142857142858,0.02156659765355419,0.5287769784172662,0.49160671462829736,0.4911663216011042,0.49347608962794465,0.7455433092947394,1.3506485618890711,0.18294917134985506,0.3961352657004831
native32@F2,native32,f2,combined_ridge,10,9,49,False,0.02036124711682178,0.5127329192546584,0.023809523809523836,0.017960662525879925,0.5335731414868106,0.4952038369304556,0.49477225672877845,0.4974470504108993,0.7455086192464626,1.352384473006378,0.17982232692937802,0.4057971014492754
native32@F2,native32,f2,oracle,10,9,49,True,0.0,0.5127329192546584,0.024154589371980673,0.02158385093167703,0.5347721822541966,0.49160671462829736,0.49114906832298133,0.4940135816380396,0.7456869838198499,1.3558797292849907,0.18488129138831955,0.391304347826087
native32@F3,native32,f3,identity,10,9,49,False,1.2859180544516708,0.4616459627329193,0.16666666666666666,0.08481711525189785,0.0,0.4172661870503597,0.4178916494133885,0.37683426047993984,0.7288504237731926,1.5388106858671093,0.2735278406935565,0.07142857142857142
native32@F3,native32,f3,global_mean,10,9,49,False,0.2478489574972954,0.5127329192546584,0.15714285714285714,0.057315389924085594,0.38848920863309355,0.47961630695443647,0.4795721187025535,0.48477303986535675,0.7328291185306344,1.377771990795491,0.19631154254906524,0.4380952380952381
native32@F3,native32,f3,pooled_bias,10,9,49,False,0.24347909107231594,0.5127329192546584,0.12857142857142856,0.052501725327812276,0.4088729016786571,0.47721822541966424,0.4771394064872326,0.4814923595217149,0.7327092020563131,1.3870968824808168,0.19885581528693785,0.4142857142857143
native32@F3,native32,f3,topology_ridge,10,9,49,False,0.256045819952955,0.5127329192546584,0.08095238095238089,0.05505521048999308,0.4064748201438849,0.4988009592326139,0.49815389924085574,0.4989713023214587,0.7358205122542938,1.3631317286372093,0.17969303114655014,0.3526570048309179
native32@F3,native32,f3,logit_ridge,10,9,49,False,0.030583649827938406,0.5127329192546584,0.09047619047619049,0.03585231193926845,0.41007194244604317,0.4844124700239808,0.48402346445824707,0.48769258796389964,0.734387361833014,1.3684692110529557,0.19031578262614707,0.3864734299516908
native32@F3,native32,f3,combined_ridge,10,9,49,False,0.08085541513728942,0.5127329192546584,0.08571428571428574,0.04668737060041407,0.407673860911271,0.48081534772182255,0.4803312629399586,0.48311149844869034,0.7350628339687264,1.3649683213320907,0.19354506775786423,0.36231884057971014
native32@F3,native32,f3,oracle,10,9,49,True,0.0,0.5127329192546584,0.08095238095238089,0.03347135955831605,0.420863309352518,0.486810551558753,0.48640441683919944,0.49049760829264977,0.7345941781224962,1.371866367219971,0.1889134016037729,0.3961352657004831
native32@F4,native32,f4,identity,10,9,49,False,1.8445681575678325,0.4616459627329193,0.19999999999999998,0.10265700483091784,0.0,0.42565947242206237,0.42565562456866807,0.3674083864384927,0.7426022554919867,1.724426971188801,0.30214082430213446,0.0380952380952381
native32@F4,native32,f4,global_mean,10,9,49,False,0.6888092051932783,0.5127329192546584,0.30476190476190473,0.1311076604554865,0.31654676258992803,0.49160671462829736,0.4914596273291925,0.4890653094294197,0.7486073846485746,1.3348180372950147,0.1747174017124765,0.38571428571428573
native32@F4,native32,f4,pooled_bias,10,9,49,False,0.6330739320087405,0.5127329192546584,0.24761904761904763,0.1108350586611456,0.3441247002398082,0.49760191846522783,0.4973429951690821,0.4966838718604975,0.748772284187759,1.330532185934783,0.16905956906382075,0.44285714285714284
native32@F4,native32,f4,topology_ridge,10,9,49,False,0.5495769418650287,0.5127329192546584,0.2,0.09101104209799862,0.46402877697841727,0.49640287769784175,0.49660110420979986,0.49915871717452215,0.7483864639471046,1.3423802271333802,0.1793055540897549,0.44761904761904764
native32@F4,native32,f4,logit_ridge,10,9,49,False,0.03659240020982795,0.5127329192546584,0.05238095238095242,0.03240165631469981,0.5191846522781774,0.49760191846522783,0.49723947550034503,0.5017639604245925,0.7496194916353669,1.3571709378434342,0.1859739929289054,0.4444444444444444
native32@F4,native32,f4,combined_ridge,10,9,49,False,0.1450228701232985,0.5127329192546584,0.07246376811594202,0.04558316080055211,0.5191846522781774,0.5035971223021583,0.5033816425120773,0.5072436049060897,0.7495324538373738,1.3553785609290139,0.1791593859103107,0.4380952380952381
native32@F4,native32,f4,oracle,10,9,49,True,0.0,0.5127329192546584,0.042857142857142816,0.031193926846100742,0.5275779376498801,0.49640287769784175,0.496031746031746,0.5010602547537153,0.7496426796305229,1.3637353587996182,0.18962114528842464,0.4444444444444444
native32@FC1,native32,fc1,identity,10,9,48,False,1.1456784247504497,0.4616459627329193,0.12857142857142856,0.0886128364389234,0.0,0.4448441247002398,0.4454968944099379,0.4156128354469876,0.7446824066210508,1.4458687017502923,0.24311353605002967,0.10952380952380952
native32@FC1,native32,fc1,global_mean,10,9,48,False,0.2564856517831829,0.5127329192546584,0.0761904761904762,0.04297791580400276,0.39568345323741005,0.486810551558753,0.48666321601104207,0.4885942426324512,0.7475485143141036,1.3698930656181707,0.20079477902618528,0.38571428571428573
native32@FC1,native32,fc1,pooled_bias,10,9,48,False,0.2860369787924495,0.5127329192546584,0.080952380952381,0.03938923395445133,0.407673860911271,0.4880095923261391,0.4878364389233954,0.48956449912995637,0.7473891911070115,1.3842315305039217,0.20629282763868778,0.38095238095238093
native32@FC1,native32,fc1,topology_ridge,10,9,48,False,0.11943576657202665,0.5127329192546584,0.04285714285714287,0.02037612146307799,0.4184652278177458,0.5,0.4996031746031746,0.5008288786772029,0.74923775782972,1.3588945625904254,0.19238176916388072,0.41904761904761906
native32@FC1,native32,fc1,logit_ridge,10,9,48,False,0.04039222415789029,0.5127329192546584,0.033333333333333326,0.01677018633540374,0.3776978417266187,0.49640287769784175,0.49596273291925463,0.4972224980264674,0.7495092053837762,1.338096817609944,0.18708898300070642,0.3864734299516908
native32@FC1,native32,fc1,combined_ridge,10,9,48,False,0.049408524030143765,0.5127329192546584,0.02898550724637683,0.015579710144927553,0.3776978417266187,0.49760191846522783,0.4971532091097308,0.4984196136432853,0.7495225784735224,1.3384797742893348,0.18588542555460807,0.3864734299516908
native32@FC1,native32,fc1,oracle,10,9,48,True,0.0,0.5127329192546584,0.03809523809523807,0.017960662525879897,0.37889688249400477,0.49760191846522783,0.4971532091097308,0.49859698064005387,0.7498724854738871,1.3363483764102795,0.18598710499195767,0.391304347826087
native32@FC2,native32,fc2,identity,10,9,48,False,1.4794124074047423,0.4616459627329193,0.1333333333333333,0.0777260179434092,0.0,0.4412470023980815,0.44130434782608696,0.4036976866049591,0.7515936140042261,1.5418832544073018,0.27103185483565173,0.10476190476190476
