held_out_reference,batch_size,prior_match_mse_from_source_subjects,nested_topology_mse,prior_match_weight,topology_weight,n_source_views,n_random_source_resamples,target_reference_labels_used
cz,64,0.02260338762227881,0.029390121556475312,0.565265203689788,0.43473479631021195,46,20,False
cz,128,0.013706920170051087,0.029390121556475312,0.6819521799888547,0.3180478200111453,46,20,False
cz,256,0.006136587926914792,0.029390121556475312,0.8272683280790796,0.17273167192092043,46,20,False
cz,450,5.778474934686914e-05,0.029390121556475312,0.9980377297880956,0.0019622702119044266,46,1,False
f1,16,0.14398158481556989,0.026704072556348112,0.15645176617365622,0.8435482338263438,47,20,False
f1,32,0.06921896755635822,0.026704072556348112,0.2783905985983318,0.7216094014016682,47,20,False
f1,64,0.022279864323194922,0.026704072556348112,0.5451597861971855,0.4548402138028145,47,20,False
f1,128,0.013482244341042818,0.026704072556348112,0.6645065937376773,0.3354934062623227,47,20,False
f1,256,0.00607560183563755,0.026704072556348112,0.8146533805374534,0.1853466194625466,47,20,False
f1,450,5.725235493337541e-05,0.026704072556348112,0.9978606307750765,0.0021393692249235263,47,1,False
f2,16,0.14409590879722747,0.029479676119132592,0.16983768848215494,0.830162311517845,47,20,False
f2,32,0.0690229008666307,0.029479676119132592,0.2992782221666478,0.7007217778333522,47,20,False
f2,64,0.022386432082094312,0.029479676119132592,0.5683803381730353,0.43161966182696465,47,20,False
f2,128,0.013542059541904032,0.029479676119132592,0.685227494106691,0.31477250589330896,47,20,False
f2,256,0.006088454313343916,0.029479676119132592,0.828822762419228,0.17117723758077197,47,20,False
f2,450,5.7378493364103286e-05,0.029479676119132592,0.9980574063962414,0.0019425936037585911,47,1,False
f3,16,0.14398558250534865,0.02728018171193402,0.15928566830977384,0.8407143316902261,47,20,False
f3,32,0.0695411621265547,0.02728018171193402,0.28175793301775587,0.7182420669822441,47,20,False
f3,64,0.022268920905670873,0.02728018171193402,0.5505686333508151,0.4494313666491849,47,20,False
f3,128,0.01353940486117148,0.02728018171193402,0.6683110732411952,0.3316889267588048,47,20,False
f3,256,0.00608575759444753,0.02728018171193402,0.817605686488689,0.18239431351131097,47,20,False
f3,450,5.727437146463747e-05,0.02728018171193402,0.9979049121728844,0.0020950878271156492,47,1,False
f4,16,0.1437591689956178,0.029043016560816943,0.1680708867616255,0.8319291132383745,47,20,False
f4,32,0.06889997992891082,0.029043016560816943,0.296529793877227,0.703470206122773,47,20,False
f4,64,0.02232158474513928,0.029043016560816943,0.5654286380579601,0.43457136194203994,47,20,False
f4,128,0.013503057899639778,0.029043016560816943,0.6826250583425781,0.31737494165742186,47,20,False
f4,256,0.006076437658956247,0.029043016560816943,0.8269780156339944,0.17302198436600558,47,20,False
f4,450,5.7361615555601617e-05,0.029043016560816943,0.9980288360787636,0.0019711639212364185,47,1,False
fc1,16,0.14526923538222572,0.029406749300693025,0.1683502706687112,0.8316497293312888,46,20,False
fc1,32,0.06971955738826507,0.029406749300693025,0.2966593862209204,0.7033406137790796,46,20,False
fc1,64,0.022461550023890695,0.029406749300693025,0.5669503277265788,0.43304967227342117,46,20,False
fc1,128,0.013720395800347764,0.029406749300693025,0.6818617191515269,0.31813828084847307,46,20,False
fc1,256,0.006176277461753438,0.029406749300693025,0.826426304232451,0.173573695767549,46,20,False
fc1,450,5.7862581120621895e-05,0.029406749300693025,0.9980362008041131,0.0019637991958868506,46,1,False
fc2,16,0.14503447361997326,0.02937837538989562,0.16844157730737652,0.8315584226926235,46,20,False
fc2,32,0.06968410860330296,0.02937837538989562,0.29656408971041626,0.7034359102895837,46,20,False
fc2,64,0.022715059317619715,0.02937837538989562,0.5639554303693726,0.43604456963062743,46,20,False
fc2,128,0.013764264874916159,0.02937837538989562,0.6809591441221404,0.3190408558778596,46,20,False
fc2,256,0.006174765289682617,0.02937837538989562,0.8263229303612716,0.17367706963872842,46,20,False
fc2,450,5.784250090671552e-05,0.02937837538989562,0.9980349886958546,0.001965011304145392,46,1,False
fc3,16,0.1463959530879465,0.0289314198959758,0.16501370780607566,0.8349862921939244,46,20,False
fc3,32,0.07021928724389113,0.0289314198959758,0.2917923707307876,0.7082076292692123,46,20,False
fc3,64,0.022852823755137364,0.0289314198959758,0.5586915605236205,0.44130843947637954,46,20,False
fc3,128,0.0138091845216615,0.0289314198959758,0.6769071305888456,0.32309286941115445,46,20,False
fc3,256,0.006195454437372292,0.0289314198959758,0.8236263671347903,0.17637363286520968,46,20,False
fc3,450,5.8083920124622713e-05,0.0289314198959758,0.9979963810180027,0.0020036189819973016,46,1,False
fc4,16,0.14556971713341352,0.029389154682841735,0.16797750452864557,0.8320224954713544,46,20,False
