condition,batch_size,repeat,target_view,montage,held_out_reference,stress_construction_uses_labels,true_batch_prior_audit_only,soft_mean_prior,weak_confusion_prior,regularized_confusion_prior,soft_mean_prior_rmse,weak_confusion_prior_rmse,regularized_confusion_prior_rmse,uniform_bias_rmse,fixed_shrinkage_bias_rmse,soft_mean_shrinkage_bias_rmse,weak_confusion_shrinkage_bias_rmse,candidate_bias_rmse,prior_match_weight,topology_bias,uniform_bias,fixed_bias,candidate_bias,oracle_bias_audit_only,candidate_prior_displacement_from_nominal,candidate_update_norm_from_topology,target_reference_labels_used_for_candidate
balanced,128,7,native16@CP1,native16,cp1,True,"[0.25, 0.25, 0.25, 0.25]","[0.21330687375847937, 0.20303864478542985, 0.19745830146252727, 0.38619617999356337]","[0.2311347048077247, 0.1840659134153531, 0.260523067182773, 0.3242763145941492]","[0.24916093889723154, 0.24186062605635472, 0.2509176724309522, 0.2580607626154615]",0.07883809981063562,0.05082053961998429,0.005761324681920434,0.20240322690484117,0.1630754269387984,0.2274348196797513,0.2428944910795395,0.16942750458241354,0.687704886985009,"[0.33899296960316916, -0.10690708849019487, -0.594914325521378]","[0.5741461522593069, -0.11565398461781257, -0.6406593978003869]","[0.5007089625058735, -0.11292237170310782, -0.6263734352831349]","[0.4991288806130879, -0.14309713780650157, -0.6226580302880451]","[0.2729219947839517, 0.0033974811162997493, -0.5065253072629708]",0.01152264936384087,0.16650208052355778,False
balanced,128,7,native16@CP2,native16,cp2,True,"[0.25, 0.25, 0.25, 0.25]","[0.2231459883239944, 0.19844296818572416, 0.20478854681579015, 0.37362249667449127]","[0.24174595043603614, 0.17973054956354412, 0.2581383013245383, 0.32038519867588144]","[0.2504381369964321, 0.24118730011820982, 0.25064501407589806, 0.2577295488094599]",0.0719476591969049,0.05006553989506701,0.005874044841292859,0.2189490466426955,0.17617631358519173,0.22266920122411007,0.2598595689774309,0.18294172837923894,0.6840773022020257,"[0.2347649013879981, 0.1770449093578399, -0.5111939415072901]","[0.4289229905943572, 0.2534045496199238, -0.7109579005627593]","[0.36758404325298444, 0.22928080606544343, -0.6478479316951514]","[0.3716629199541379, 0.19707330716862503, -0.6454570159828361]","[0.0817245068305003, 0.295969904164007, -0.5644742545750552]",0.011748089682585717,0.19279205734113694,False
balanced,128,7,native16@CP3,native16,cp3,True,"[0.25, 0.25, 0.25, 0.25]","[0.1920635219538137, 0.2520881336717812, 0.21289280513332187, 0.34295553924108324]","[0.19090306008360625, 0.25475142979972126, 0.26471926454412015, 0.28962624557255234]","[0.24326527969540693, 0.25128920577704894, 0.25161066508374935, 0.2538348494437949]",0.057833104657068264,0.03640714380282924,0.004009950791009101,0.11378249094697096,0.0391038430554857,0.16093574576264813,0.16152374386413004,0.03633097298985204,0.679703060783626,"[0.5132072848777876, -0.3121485967766827, -0.7350738779953186]","[0.902485430843956, -0.6684726977312416, -0.8894771215644477]","[0.7778008321871674, -0.5543431788264701, -0.8400222352441754]","[0.7474505070205879, -0.5457150896066025, -0.8317073268915728]","[0.7549929111902552, -0.5884429315224567, -0.7861303320397484]",0.008019901582018202,0.3446174939527813,False
balanced,128,7,native16@CP4,native16,cp4,True,"[0.25, 0.25, 0.25, 0.25]","[0.2039910493122424, 0.21834922022093395, 0.21484386430254254, 0.36281586616428113]","[0.2165174589898241, 0.21333133361016032, 0.26159009782490494, 0.3085611095751107]","[0.24695015625940217, 0.2457392051699232, 0.2511330890491222, 0.2561775495215524]",0.06534900331984123,0.03882462353187232,0.004089679948068859,0.22999986776175743,0.14946533516291446,0.15107737576528413,0.11933315701853789,0.14464547507134073,0.6871932185399007,"[0.3016364438651555, 0.2626620789196858, -0.5915519182302846]","[0.6466334864229792, 0.16921891305129558, -0.8645478346890203]","[0.5387160719272135, 0.19844856901602892, -0.779152860709813]","[0.5282326322473663, 0.1843618791717469, -0.7746775188362102]","[0.3159294975719638, 0.2412653035431559, -0.6544430825143026]",0.008179359896137718,0.3016815199298665,False
balanced,128,7,native16@CPz,native16,cpz,True,"[0.25, 0.25, 0.25, 0.25]","[0.21692350718171757, 0.19130042367672423, 0.1946181841921624, 0.39715788494939563]","[0.2395287881883573, 0.1680012154454805, 0.25974313048263825, 0.33272686588352396]","[0.2504167298562544, 0.2397263354077002, 0.25077913454506384, 0.2590778001909816]",0.08553111022113939,0.05867731647692971,0.006869049331509889,0.19355531541843213,0.1445492989289805,0.19049466019413575,0.24329567662136142,0.148633518478028,0.688066967417682,"[0.2247807606375019, 0.12371171774247432, -0.5362261514561408]","[0.478515624020438, 0.1982895745858717, -0.6404114339681449]","[0.39936733861353857, 0.17502627753722078, -0.6079126028437299]","[0.402806307253059, 0.1367804987021335, -0.604008613675644]","[0.1574857222373754, 0.1872411496066669, -0.5444493849757318]",0.013738098663019779,0.19094069882578152,False
balanced,128,7,native16@Cz,native16,cz,True,"[0.25, 0.25, 0.25, 0.25]","[0.199672590908235, 0.25031330786175304, 0.22147062863916173, 0.3285434725908503]","[0.19834847162962194, 0.25495004904859425, 0.26274340806994345, 0.2839580712518404]","[0.2440985928612765, 0.2512273668426308, 0.2513976738992072, 0.2532763663968855]",0.04877486131343784,0.03165410092295163,0.0035007536573762135,0.17527567922273155,0.11597698522153353,0.11627424222563154,0.06973613247733028,0.1036417554404854,0.6819521799888547,"[0.24313466973417663, 0.0410577590722985, -0.4968786607953495]","[0.5064181893424089, -0.19788541898816714, -0.6860139733426591]","[0.42268143988614904, -0.12189006209950112, -0.6258598994998607]","[0.3979924639795769, -0.11509440371883264, -0.6194697804314092]","[0.2652643436562392, -0.15713976345081118, -0.5061548466724458]",0.007001507314752427,0.2517796993336066,False
balanced,128,7,native16@FC1,native16,fc1,True,"[0.25, 0.25, 0.25, 0.25]","[0.19123494865236673, 0.25683140529452936, 0.21037904966805604, 0.341554596385048]","[0.18798386555038732, 0.2591871023783787, 0.2651331401156442, 0.28769589195558976]","[0.24285066055468826, 0.2518859119085535, 0.25167008830653304, 0.2535933392302252]",0.05799151485912294,0.03735102402301196,0.004194371228390733,0.31893244825232875,0.24560342214033248,0.18586992541655664,0.10405827972900786,0.229925231544052,0.6818617191515269,"[0.49998696175754376, -0.27831575714912415, -0.6254004295081086]","[0.851450581708908, -0.6242902974993998, -0.6337821156230892]","[0.7396365498767998, -0.5142225520150224, -0.6311155804118578]","[0.7135954442018018, -0.5055139023162147, -0.6251786540275901]","[0.3481644363716098, -0.4634513508562549, -0.4725753887196479]",0.008388742456781466,0.3118455228536543,False
balanced,128,7,native16@FC2,native16,fc2,True,"[0.25, 0.25, 0.25, 0.25]","[0.2193022912099245, 0.22593499160865588, 0.21227983862589725, 0.3424828785555224]","[0.22604112044882027, 0.21648163279796392, 0.25904817200849933, 0.29842907474471647]","[0.24795833981658394, 0.2460294368659673, 0.25086705770375234, 0.2551451656136964]",0.05361288873451886,0.03211212211363176,0.003433593822800175,0.1696564568615441,0.130140192302722,0.1353470122632343,0.08787894367600137,0.12487221242635241,0.6809591441221404,"[0.2104146301966773, 0.046152975147836534, -0.46578603048746103]","[0.3977211510475644, -0.10043679944047232, -0.5915282612466651]","[0.3379627183237932, -0.05366867229287575, -0.5514113523252573]","[0.3315274636896869, -0.06712418637589165, -0.5481104133117627]","[0.1437670919154687, -0.09284454894365189, -0.4438812712767897]",0.00686718764560035,0.18514139938701027,False
balanced,128,7,native16@FC3,native16,fc3,True,"[0.25, 0.25, 0.25, 0.25]","[0.2090636131479729, 0.16633169929693978, 0.18233763371857153, 0.44226705383651566]","[0.24402798832123315, 0.13501498665774733, 0.26136878675814895, 0.3595882382628706]","[0.25156392012703976, 0.23549164145946544, 0.2508445410220336, 0.2620998973914612]",0.1120501986977403,0.07968069009289722,0.009487611397583823,0.15493607431027662,0.1121279793534829,0.2678536332472489,0.39337363333615283,0.13891303175332687,0.6769071305888456,"[0.7462566540884326, -0.6298367730201302, -0.7820065118836357]","[1.2629616583858452, -0.43823221265377477, -0.9528937534069141]","[1.0960179559082912, -0.5001382798548033, -0.8976813041974011]","[1.1044725853820823, -0.5525197439705269, -0.895079868588072]","[1.011572333208709, -0.35283488621125597, -0.9919611975451303]",0.018975222795167643,0.383512920786305,False
balanced,128,7,native16@FC4,native16,fc4,True,"[0.25, 0.25, 0.25, 0.25]","[0.2187829238093041, 0.189854689334392, 0.1956154578550207, 0.3957469290012832]","[0.2417909815941306, 0.1663147144546268, 0.25930216420310626, 0.3325921397481364]","[0.2507038171845324, 0.23948617240255266, 0.2507257300444731, 0.25908428036844194]",0.08484074784350727,0.05911557917976401,0.006965751274772865,0.08435650649910571,0.04758272307631043,0.15614861623961676,0.20794034086997235,0.0609793350266661,0.6812823056457217,"[0.16926294120895585, 0.13228992257749372, -0.4998958844108563]","[0.37839495954512425, 0.1375012417844164, -0.48219882562454]","[0.311740884845364, 0.13584030214224183, -0.4878391913977668]","[0.3179670666039267, 0.0991301221271447, -0.48619427040058133]","[0.23468756988642275, 0.16367912878460572, -0.47888748814725923]",0.01393150254954573,0.15297131594477686,False
balanced,128,7,native16@Fz,native16,fz,True,"[0.25, 0.25, 0.25, 0.25]","[0.2134803739904515, 0.18913938198393734, 0.20808872175808868, 0.38929152226752256]","[0.2378281174788587, 0.1733774514826172, 0.25953900252391665, 0.3292554285146075]","[0.2501221739197833, 0.24042604744317897, 0.25077647574608597, 0.25867530289095175]",0.08092648103162682,0.05565874860161808,0.00647184843883397,0.22260845790724437,0.0939657305820218,0.16525899514039866,0.19013064375127472,0.09682816134380498,0.6839687958099672,"[0.3173634347699217, -0.18439277177185445, -0.4974759386636003]","[0.8518538249980303, -0.18658061134637002, -0.9592951991519489]","[0.6829381833462406, -0.18588918577106125, -0.8133459021416657]","[0.6870137807259531, -0.22036661488917852, -0.8107219795229144]","[0.5504598027309466, -0.18817542117084365, -0.7188317372313973]",0.01294369687766794,0.48585859853261687,False
