condition,batch_size,repeat,target_view,montage,held_out_reference,stress_construction_uses_labels,true_batch_prior_audit_only,soft_mean_prior,weak_confusion_prior,regularized_confusion_prior,soft_mean_prior_rmse,weak_confusion_prior_rmse,regularized_confusion_prior_rmse,uniform_bias_rmse,fixed_shrinkage_bias_rmse,soft_mean_shrinkage_bias_rmse,weak_confusion_shrinkage_bias_rmse,candidate_bias_rmse,prior_match_weight,candidate_bias,target_reference_labels_used_for_candidate
random,128,10,native32@CP3,native32,cp3,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.23582793075441646, 0.22399027414354927, 0.45804264596062566, 0.0821391491414085]","[0.31126447357894843, 0.2860274226082887, 0.3969884477619017, 0.005719656050861251]","[0.2604878475024974, 0.25638346735358297, 0.2671377143517645, 0.21599097079215518]",0.11428126024585906,0.13352400682003082,0.023675430856418853,0.24575211306071995,0.274284425813859,0.48763386696072186,0.7551883161999547,0.27793891019297445,0.5045851515796478,"[-0.1349309928592223, -0.9785563464515277, 1.2151173294588316]",False
random,128,10,native32@CP4,native32,cp4,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.2695685498784257, 0.16123307089864877, 0.44538159824862783, 0.12381678097429744]","[0.36258414232944874, 0.18846210864979213, 0.37894338039962344, 0.07001036862113573]","[0.27168594116045075, 0.2386565615258581, 0.2644980502819757, 0.2251594470317154]",0.10013139132334235,0.10838445242350639,0.01786814321548175,0.21615830276072573,0.05303099610819646,0.30731813132945474,0.32719630683048984,0.020476301829146115,0.5130942540814633,"[-1.2844440458477908, 0.3441444403321873, 1.7463702760066724]",False
random,128,10,native32@CP5,native32,cp5,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.28827574552252516, 0.19015488027166638, 0.40020333937710467, 0.12136603482870365]","[0.3710060962432675, 0.21073134248409087, 0.35736255870335126, 0.06090000256929038]","[0.27212339059637003, 0.24170503118491904, 0.26240818698591956, 0.2237633912327914]",0.08195883507373998,0.10912786290781476,0.01971543614305016,0.17505114360361868,0.1374810380291863,0.21975925061211246,0.3604082408459028,0.13812302250507247,0.5048478055546486,"[0.28669096374295605, -0.9630474519219266, 1.0199074156246695]",False
random,128,10,native32@CP6,native32,cp6,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.23115159812765446, 0.21305054051233097, 0.4145289972426165, 0.1412688641173979]","[0.2900742487532297, 0.25829151743694095, 0.3617300158426841, 0.0899042179671452]","[0.2575096511053476, 0.25192639148195295, 0.26277434617631423, 0.22778961123638522]",0.07929987704344105,0.0847890422663268,0.021419611608538218,0.24056968330864426,0.2644325922036436,0.2927924939847603,0.3483738812096136,0.2613349949039814,0.5049772634418144,"[-1.3185344371324723, 0.8148724582404853, 1.7122480813876062]",False
random,128,10,native32@CPz,native32,cpz,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.24566118023685782, 0.1812986009543333, 0.4531433808104597, 0.11989683799834916]","[0.32827368446913563, 0.22343081753385818, 0.38469622989706037, 0.06359926809994586]","[0.2650723967601617, 0.2454684670790469, 0.26524257412239166, 0.2242165620383998]",0.1019534782207998,0.10403947504385282,0.018954981631861025,0.14783785636179647,0.08847789900153633,0.3058027528864637,0.2736925932749219,0.05735792858252443,0.5128096952624009,"[-0.7946987525534859, -0.3552906292551461, 1.6546963533754742]",False
random,128,10,native32@Cz,native32,cz,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.2410276753510271, 0.20001529059611176, 0.45061203152713347, 0.10834500252572798]","[0.31868253208160247, 0.249484360526504, 0.38662785203980626, 0.045205255352087276]","[0.2627198165786224, 0.25003551651637446, 0.2656592359186863, 0.22158543098631686]",0.10321643652411448,0.11175190371017878,0.020701154224551307,0.19918275484571915,0.14211381907599763,0.3242052460120163,0.3325912431451454,0.11397219472503596,0.5115125758975229,"[-1.029783188461192, -0.5203039356689787, 1.6821603881761162]",False
random,128,10,native32@F1,native32,f1,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.2592316747357017, 0.18599953858147236, 0.4519057660395945, 0.10286302064323152]","[0.3472375130827774, 0.22684518899053588, 0.38778647221786966, 0.03813082570881709]","[0.2680885782244097, 0.24551500300957313, 0.2657669680150072, 0.22062945075101004]",0.10593386709267505,0.118659769597103,0.019707771971971336,0.12668524156975525,0.06816929250136261,0.32698230012420193,0.39995725655060727,0.07187696252537788,0.5120052450383625,"[-1.1184473014749199, -0.9255326024092841, 2.0094788414614864]",False
random,128,10,native32@F2,native32,f2,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.2607799962030655, 0.20672355145585886, 0.40789709471302416, 0.12459935762805185]","[0.33177002278502116, 0.24155375704494902, 0.3614431628751818, 0.0652330572948481]","[0.264818367088971, 0.24795902101474648, 0.26288558595903394, 0.22433702593724858]",0.08112612719876786,0.09979689831375722,0.020544103985698822,0.2511117598348692,0.19798716266956132,0.1608354220771052,0.24347412449754838,0.17108531446537323,0.5093127863246478,"[-2.002376284474668, -0.5183897360412432, 2.209894191317068]",False
random,128,10,native32@F3,native32,f3,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.31612220132574953, 0.15641198678776666, 0.4311100243330829, 0.09635578755340098]","[0.4262102461880626, 0.16805544023481372, 0.37699369602864063, 0.028740617548482904]","[0.2826618950144737, 0.23341707055274194, 0.26455476526703736, 0.21936626916574703]",0.10783419139294816,0.14225429149260246,0.020362382315072928,0.2773303185223271,0.02812623228185575,0.3913770440563127,0.5251792132569003,0.07647588374624098,0.5141611514003821,"[-0.7166398117995234, -1.092109813992834, 1.8631463980720693]",False
random,128,10,native32@F4,native32,f4,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.21607681454711233, 0.2587885298842159, 0.3823402031397473, 0.14279445242892422]","[0.25190582507772225, 0.31462689969075647, 0.34683237908019515, 0.08663489615132618]","[0.24937224618722315, 0.2620162964612416, 0.26142808152271, 0.2271833758288252]",0.07147145918469226,0.09272508549080197,0.026261144475696177,0.26523922121723503,0.38507262037791196,0.41582992491928933,0.4560837172175299,0.39572748390836954,0.48332976293170893,"[-2.3071393845894668, -0.18677062751232834, 2.193198996220485]",False
random,128,10,native32@FC1,native32,fc1,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.25514630673576183, 0.16998243588012996, 0.45601120744583556, 0.11886004993827312]","[0.3443394054740288, 0.20675971518278374, 0.3858770603638324, 0.06302381897935501]","[0.2682214934397377, 0.24229116162323128, 0.2653200549278921, 0.22416729000913904]",0.1044042126811777,0.10766261959998173,0.018237560666514465,0.3121711833049487,0.19488240469647194,0.3574560047993631,0.29298803558274783,0.15804383302891928,0.5145001050221327,"[-0.8751639249355897, -0.710636981834355, 1.7638661042547734]",False
random,128,10,native32@FC2,native32,fc2,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.29543551350956976, 0.15688188962985752, 0.4340258062658621, 0.11365679059471068]","[0.39689074383645917, 0.17374311573962156, 0.374955404529783, 0.05441073589413635]","[0.27768725881646256, 0.2351786557339495, 0.2641638561471062, 0.22297022930248164]",0.10103266856797213,0.12362554847521218,0.018807698075611272,0.36606054914632385,0.11075256812211365,0.2969789917694207,0.37511175813574804,0.037529065761556867,0.5038166047471974,"[-1.6871672191525682, -0.2312680914511091, 1.9397248122604762]",False
random,128,10,native32@FC3,native32,fc3,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.2548065031592626, 0.18810480585914763, 0.43366117417944416, 0.12342751680214575]","[0.33406147489159244, 0.2249739371178816, 0.3741829721311212, 0.06678161585940484]","[0.26584996959213114, 0.2453845351065818, 0.26413871298127845, 0.22462678232000854]",0.09242062072845034,0.10147127764642086,0.019301698662807263,0.36222091132965123,0.23470444192919598,0.3428057693488767,0.2698673145798946,0.20623288170796591,0.49248109517918504,"[-0.48065937560086247, -0.9680751993840218, 1.6594559502851507]",False
random,128,10,native32@FC4,native32,fc4,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.2780905665405394, 0.16150197062713484, 0.45272257796275134, 0.10768488486957445]","[0.3776488313939389, 0.18941401092869461, 0.38608999618402373, 0.046847161493342775]","[0.27418899823017584, 0.23847979360399832, 0.2654157333676294, 0.22191547479819645]",0.10784658460080378,0.12227261734283493,0.01851933982597313,0.25256988660712715,0.0757538449734468,0.33851862586182385,0.3810376501958673,0.04271144964570901,0.5181107940761368,"[-1.9405876901220285, 0.08671697309380907, 1.8831862039579543]",False
random,128,10,native32@FC5,native32,fc5,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.28868557124765, 0.1185814341386109, 0.46351483545399214, 0.12921815915974685]","[0.4013694932411631, 0.13122484114227373, 0.38526843392535604, 0.08213723169120712]","[0.27985663121646326, 0.22826655972937576, 0.2648897578152315, 0.22698705123892943]",0.11454089513776777,0.12318805092581549,0.01743137890270673,0.31090599037190336,0.13930194025501805,0.49795351962351964,0.4563398979652597,0.1489319852764164,0.5074485962752081,"[0.17740754290423114, -0.8731424920642299, 1.2590117488485029]",False
random,128,10,native32@FC6,native32,fc6,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.17957578366553678, 0.17968091313298096, 0.551622337710079, 0.08912096549140314]","[0.26659005890206927, 0.26499172205698557, 0.4420124416843984, 0.026405777356546797]","[0.2543688297518629, 0.254974116448829, 0.27155912615392896, 0.2190979276453792]",0.1562720226486411,0.13120615898963917,0.021585889563554426,0.16221970024519053,0.24218363300179246,0.6614978885442028,0.565367204107539,0.2615931513676189,0.4787569149170778,"[-1.8259195635072087, 0.6663048878776598, 1.5918100560794615]",False
random,128,10,native32@Fz,native32,fz,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.27333939623352194, 0.188745511139683, 0.45355855123623434, 0.08435654139056051]","[0.3682136724434248, 0.22834370185519626, 0.3925889303162514, 0.010853695385127638]","[0.27151122183561843, 0.2452162631083864, 0.266476200256846, 0.21679631479914918]",0.11258978933975472,0.13505550098286392,0.02065955694303604,0.27501220959627226,0.1746318031064171,0.29309462968002364,0.5469730994177898,0.14813545883015547,0.5123166234821035,"[-1.6483920400913294, -0.6802120759419236, 2.0704609130797436]",False
