held_out_reference,batch_size,prior_match_mse_from_source_subjects,nested_topology_mse,prior_match_weight,topology_weight,n_source_views,n_random_source_resamples,target_reference_labels_used
cp4,256,0.059155560520879946,0.06742053003947077,0.5326482255930085,0.4673517744069915,46,20,False
cp4,450,0.05292342308327018,0.06742053003947077,0.5602319708636077,0.43976802913639235,46,1,False
cp5,16,0.347611392719149,0.0646554935858234,0.15682921848347242,0.8431707815165276,47,20,False
cp5,32,0.13661166097749594,0.0646554935858234,0.3212421506435247,0.6787578493564753,47,20,False
cp5,64,0.09888001994382659,0.0646554935858234,0.395360568419293,0.604639431580707,47,20,False
cp5,128,0.06341378367842053,0.0646554935858234,0.5048478055546486,0.4951521944453514,47,20,False
cp5,256,0.058391000899219274,0.0646554935858234,0.5254557950343137,0.4745442049656863,47,20,False
cp5,450,0.05228117542905404,0.0646554935858234,0.5529103413882732,0.4470896586117268,47,1,False
cp6,16,0.34462527457377073,0.0646307220235484,0.15792248021020633,0.8420775197897936,47,20,False
cp6,32,0.13666219969639928,0.0646307220235484,0.3210779667328145,0.6789220332671855,47,20,False
cp6,64,0.09859660948508853,0.0646307220235484,0.3959552694159468,0.6040447305840533,47,20,False
cp6,128,0.06335666810772117,0.0646307220235484,0.5049772634418144,0.4950227365581856,47,20,False
cp6,256,0.058641404367693516,0.0646307220235484,0.5242930735081422,0.47570692649185775,47,20,False
cp6,450,0.05245961206751979,0.0646307220235484,0.5519731626462112,0.4480268373537888,47,1,False
cpz,16,0.35050759130260684,0.06733831919253824,0.1611558651196148,0.8388441348803852,46,20,False
cpz,32,0.1375444275621844,0.06733831919253824,0.32866759285081704,0.671332407149183,46,20,False
cpz,64,0.09997815400181893,0.06733831919253824,0.4024607852827325,0.5975392147172676,46,20,False
cpz,128,0.0639741731699194,0.06733831919253824,0.5128096952624009,0.48719030473759906,46,20,False
cpz,256,0.05897953075075382,0.06733831919253824,0.5330863312094725,0.46691366879052754,46,20,False
cpz,450,0.05273798889653526,0.06733831919253824,0.5607960493137928,0.4392039506862072,46,1,False
cz,16,0.352727353556624,0.06689957749741264,0.15942632025397288,0.8405736797460271,46,20,False
cz,32,0.13725545364289027,0.06689957749741264,0.3276900751538999,0.6723099248461001,46,20,False
cz,64,0.09970442758998793,0.06689957749741264,0.40154843493898645,0.5984515650610136,46,20,False
cz,128,0.06388816976379134,0.06689957749741264,0.5115125758975229,0.48848742410247714,46,20,False
cz,256,0.058595110617271365,0.06689957749741264,0.5330869258488143,0.46691307415118566,46,20,False
cz,450,0.05233037742152932,0.06689957749741264,0.5610970627548595,0.4389029372451405,46,1,False
f1,16,0.3494050199918723,0.06655304882473441,0.15999941776361412,0.8400005822363859,47,20,False
f1,32,0.13791790532520015,0.06655304882473441,0.32548901188152307,0.674510988118477,47,20,False
f1,64,0.09881519644319699,0.06655304882473441,0.402453619296162,0.5975463807038379,47,20,False
f1,128,0.06343204306577516,0.06655304882473441,0.5120052450383625,0.48799475496163747,47,20,False
f1,256,0.05865494902345622,0.06655304882473441,0.531539917325626,0.468460082674374,47,20,False
f1,450,0.052305809984455866,0.06655304882473441,0.5599334327412242,0.4400665672587758,47,1,False
f2,16,0.3475719638746,0.06546614854761824,0.15849905027819094,0.8415009497218091,47,20,False
f2,32,0.13744879855912828,0.06546614854761824,0.3226285174210393,0.6773714825789607,47,20,False
f2,64,0.0986367939341234,0.06546614854761824,0.3989334228720616,0.6010665771279384,47,20,False
f2,128,0.06307205097421469,0.06546614854761824,0.5093127863246478,0.4906872136753522,47,20,False
f2,256,0.05822970491479246,0.06546614854761824,0.5292509547825095,0.4707490452174905,47,20,False
f2,450,0.051896849877522605,0.06546614854761824,0.5578091001941754,0.4421908998058246,47,1,False
f3,16,0.3476616099173886,0.06553013349355223,0.15859497325041919,0.8414050267495808,47,20,False
f3,32,0.13644902149025284,0.06553013349355223,0.3244400814470509,0.6755599185529491,47,20,False
f3,64,0.09749487978645666,0.06553013349355223,0.40196367523674925,0.5980363247632507,47,20,False
f3,128,0.06192043976557622,0.06553013349355223,0.5141611514003821,0.4858388485996179,47,20,False
f3,256,0.05728181122437318,0.06553013349355223,0.5335811076362474,0.46641889236375256,47,20,False
f3,450,0.05091786009468231,0.06553013349355223,0.5627416280375752,0.4372583719624248,47,1,False
f4,16,0.34731305570890186,0.05889425286735372,0.14498570464863447,0.8550142953513655,47,20,False
f4,32,0.13701123079928407,0.05889425286735372,0.3006258516355316,0.6993741483644684,47,20,False
f4,64,0.0982108248966998,0.05889425286735372,0.3748717336546142,0.6251282663453859,47,20,False
f4,128,0.06295682559742326,0.05889425286735372,0.48332976293170893,0.5166702370682911,47,20,False
f4,256,0.058090149149474,0.05889425286735372,0.503436798855304,0.496563201144696,47,20,False
f4,450,0.051686267483610646,0.05889425286735372,0.5325915692965909,0.4674084307034091,47,1,False
fc1,16,0.3531201648282917,0.06770266340850523,0.16088163204494446,0.8391183679550556,46,20,False
fc1,32,0.13777916734315027,0.06770266340850523,0.329482481058534,0.670517518941466,46,20,False
fc1,64,0.09982139250556152,0.06770266340850523,0.40413696432489693,0.5958630356751031,46,20,False
fc1,128,0.06388654862011585,0.06770266340850523,0.5145001050221327,0.4854998949778673,46,20,False
fc1,256,0.05864885973592324,0.06770266340850523,0.5358278374777994,0.4641721625222006,46,20,False
fc1,450,0.05236400063350142,0.06770266340850523,0.5638756098430344,0.4361243901569656,46,1,False
fc2,16,0.34981810043599526,0.06261995409736404,0.15182874957601455,0.8481712504239854,46,20,False
fc2,32,0.13514670716722016,0.06261995409736404,0.316635542598291,0.683364457401709,46,20,False
fc2,64,0.09698376088746873,0.06261995409736404,0.39234646952494084,0.6076535304750592,46,20,False
fc2,128,0.06167121357620871,0.06261995409736404,0.5038166047471974,0.49618339525280264,46,20,False
fc2,256,0.05601516163761469,0.06261995409736404,0.5278365828651608,0.4721634171348392,46,20,False
fc2,450,0.04974329929570342,0.06261995409736404,0.557299225560049,0.44270077443995104,46,1,False
fc3,16,0.3533102154509936,0.06204771664970491,0.14938372871777056,0.8506162712822294,46,20,False
fc3,32,0.13860075995578833,0.06204771664970491,0.30923592194373134,0.6907640780562687,46,20,False
fc3,64,0.10015724086024518,0.06204771664970491,0.3825266354506997,0.6174733645493002,46,20,False
fc3,128,0.06394233100304689,0.06204771664970491,0.49248109517918504,0.507518904820815,46,20,False
fc3,256,0.05902353715303003,0.06204771664970491,0.512489254887879,0.487510745112121,46,20,False
fc3,450,0.052571265721982716,0.06204771664970491,0.5413389245465112,0.4586610754534888,46,1,False
fc4,16,0.35337251960216903,0.06790681847669891,0.16119190365796204,0.8388080963420379,46,20,False
fc4,32,0.1379159882722417,0.06790681847669891,0.32992854168746505,0.6700714583125349,46,20,False
fc4,64,0.098844086882346,0.06790681847669891,0.4072350811558308,0.5927649188441693,46,20,False
fc4,128,0.06315939217383609,0.06790681847669891,0.5181107940761368,0.4818892059238632,46,20,False
fc4,256,0.05790233545124951,0.06790681847669891,0.5397605528417233,0.4602394471582767,46,20,False
fc4,450,0.051448293285955106,0.06790681847669891,0.5689477180645297,0.4310522819354703,46,1,False
fc5,16,0.34968661924664307,0.06437311830608204,0.1554681908619163,0.8445318091380837,47,20,False
fc5,32,0.1359898332918708,0.06437311830608204,0.32128254147130336,0.6787174585286966,47,20,False
fc5,64,0.09793530485464284,0.06437311830608204,0.39660984348506034,0.6033901565149397,47,20,False
fc5,128,0.062483313613517014,0.06437311830608204,0.5074485962752081,0.4925514037247919,47,20,False
fc5,256,0.057574431087150685,0.06437311830608204,0.527875456508799,0.47212454349120103,47,20,False
fc5,450,0.05108470516565728,0.06437311830608204,0.5575466120045012,0.4424533879954988,47,1,False
fc6,16,0.35003342352435834,0.058556443073703966,0.14331349810813362,0.8566865018918663,47,20,False
fc6,32,0.13790180073905367,0.058556443073703966,0.2980605035312925,0.7019394964687076,47,20,False
fc6,64,0.09975688045859575,0.058556443073703966,0.36987691097115427,0.6301230890288457,47,20,False
fc6,128,0.0637528985759015,0.058556443073703966,0.4787569149170778,0.5212430850829222,47,20,False
fc6,256,0.059100619715768965,0.058556443073703966,0.4976874459162782,0.5023125540837218,47,20,False
fc6,450,0.05284925863563438,0.058556443073703966,0.5256144180706291,0.47438558192937086,47,1,False
fz,16,0.3533314477809473,0.06693683464145006,0.15927167821380847,0.8407283217861915,46,20,False
fz,32,0.13902388985869019,0.06693683464145006,0.32499805389548664,0.6750019461045134,46,20,False
fz,64,0.09963140361134588,0.06693683464145006,0.40185833351891437,0.5981416664810857,46,20,False
fz,128,0.06371837265300605,0.06693683464145006,0.5123166234821035,0.4876833765178965,46,20,False
fz,256,0.05884859222340157,0.06693683464145006,0.5321509519013629,0.46784904809863714,46,20,False
fz,450,0.05239791952273599,0.06693683464145006,0.5609165168208701,0.43908348317912993,46,1,False
o1,16,0.34404458170200447,0.06792453389404975,0.16487773311786658,0.8351222668821334,47,20,False
o1,32,0.13598166503304923,0.06792453389404975,0.3331165714993014,0.6668834285006986,47,20,False
o1,64,0.09857051258754917,0.06792453389404975,0.4079672959012435,0.5920327040987565,47,20,False
o1,128,0.06311320146275726,0.06792453389404975,0.5183585759407072,0.4816414240592928,47,20,False
o1,256,0.05817256574161713,0.06792453389404975,0.5386684871444666,0.4613315128555334,47,20,False
o1,450,0.05210681257467588,0.06792453389404975,0.5658899603508789,0.4341100396491211,47,1,False
o2,16,0.34404200710687277,0.0698989345221857,0.1688620947884485,0.8311379052115515,47,20,False
o2,32,0.13576653427077165,0.0698989345221857,0.3398671392549261,0.6601328607450738,47,20,False
