held_out_reference,batch_size,prior_match_mse_from_non_target_references,topology_mse_from_nested_non_target_references,prior_match_weight,topology_weight,n_source_views,n_random_resamples,target_reference_labels_used
f2,900,1.2548068061249007e-05,0.06546614854761824,0.9998083641136765,0.0001916358863235379,47,1,False
f3,16,0.25953879709168143,0.06553013349355223,0.2015884242630506,0.7984115757369494,47,20,False
f3,32,0.1103774889069136,0.06553013349355223,0.37252583258938243,0.6274741674106176,47,20,False
f3,64,0.06079737946376209,0.06553013349355223,0.5187320794932032,0.4812679205067968,47,20,False
f3,128,0.02379336569677487,0.06553013349355223,0.7336270308211182,0.26637296917888176,47,20,False
f3,256,0.008732487319228188,0.06553013349355223,0.8824107306791232,0.11758926932087677,47,20,False
f3,512,0.0035492114071299275,0.06553013349355223,0.9486212353022058,0.05137876469779423,47,20,False
f3,900,1.2560047027671969e-05,0.06553013349355223,0.9998083684641387,0.0001916315358613252,47,1,False
f4,16,0.2593247063117243,0.05889425286735372,0.18507461975014167,0.8149253802498584,47,20,False
f4,32,0.11100987214788487,0.05889425286735372,0.3466322719479091,0.6533677280520909,47,20,False
f4,64,0.06056711680766977,0.05889425286735372,0.4929983058755026,0.5070016941244975,47,20,False
f4,128,0.023858695921949422,0.05889425286735372,0.7116876646571721,0.28831233534282785,47,20,False
f4,256,0.008747768929200915,0.05889425286735372,0.8706755254076913,0.12932447459230867,47,20,False
f4,512,0.0035461927659037242,0.05889425286735372,0.9432067992158126,0.05679320078418737,47,20,False
f4,900,1.2549234949264428e-05,0.05889425286735372,0.9997869645864077,0.0002130354135922996,47,1,False
fc1,16,0.26247242001754695,0.06770266340850523,0.20505079519020789,0.7949492048097921,46,20,False
fc1,32,0.11220278608594568,0.06770266340850523,0.3763235832975336,0.6236764167024664,46,20,False
fc1,64,0.06127485773438033,0.06770266340850523,0.5249183176152221,0.4750816823847779,46,20,False
fc1,128,0.024117540212179555,0.06770266340850523,0.7373395041486656,0.26266049585133444,46,20,False
fc1,256,0.008903416379912819,0.06770266340850523,0.8837766349028225,0.11622336509717746,46,20,False
fc1,512,0.0036115040595485638,0.06770266340850523,0.9493578318618613,0.05064216813813871,46,20,False
fc1,900,1.25927297653295e-05,0.06770266340850523,0.9998140340820744,0.00018596591792563455,46,1,False
fc2,16,0.2632922468686304,0.06261995409736404,0.19213749565607022,0.8078625043439298,46,20,False
fc2,32,0.11158080143026868,0.06261995409736404,0.35947004883931694,0.640529951160683,46,20,False
fc2,64,0.06143344110100179,0.06261995409736404,0.5047822673231352,0.49521773267686475,46,20,False
fc2,128,0.024066765341872423,0.06261995409736404,0.7223707910789938,0.2776292089210062,46,20,False
fc2,256,0.008854887857582643,0.06261995409736404,0.8761118231899803,0.12388817681001973,46,20,False
fc2,512,0.0035909325161409774,0.06261995409736404,0.9457652253306552,0.05423477466934479,46,20,False
fc2,900,1.2579492182601356e-05,0.06261995409736404,0.9997991540264834,0.0002008459735165502,46,1,False
fc3,16,0.26535547636326945,0.06204771664970491,0.18951469617233108,0.8104853038276689,46,20,False
fc3,32,0.11274960003028149,0.06204771664970491,0.3549695031262978,0.6450304968737022,46,20,False
fc3,64,0.06122455741259846,0.06204771664970491,0.5033387849918726,0.49666121500812743,46,20,False
fc3,128,0.024245280301331718,0.06204771664970491,0.7190353660437974,0.28096463395620264,46,20,False
fc3,256,0.008894508958848113,0.06204771664970491,0.8746232038458099,0.12537679615419006,46,20,False
fc3,512,0.003625143406817823,0.06204771664970491,0.9447999766768531,0.055200023323146885,46,20,False
fc3,900,1.2596282078174628e-05,0.06204771664970491,0.999797031605496,0.0002029683945039551,46,1,False
fc4,16,0.26574957327674037,0.06790681847669891,0.20352320577415983,0.7964767942258402,46,20,False
fc4,32,0.11227981778281891,0.06790681847669891,0.37686933884982793,0.6231306611501721,46,20,False
fc4,64,0.06185992850400838,0.06790681847669891,0.5232990735815761,0.4767009264184239,46,20,False
fc4,128,0.02411815811814462,0.06790681847669891,0.7379172588727826,0.2620827411272174,46,20,False
fc4,256,0.008851564489070535,0.06790681847669891,0.8846827649689036,0.11531723503109637,46,20,False
fc4,512,0.0035993335154906156,0.06790681847669891,0.9496640021143389,0.05033599788566112,46,20,False
fc4,900,1.2569697447883033e-05,0.06790681847669891,0.9998149321160601,0.00018506788393990448,46,1,False
fc5,16,0.26437813112557795,0.06437311830608204,0.19581102252042928,0.8041889774795707,47,20,False
fc5,32,0.11174438599954925,0.06437311830608204,0.365512324058204,0.634487675941796,47,20,False
fc5,64,0.061330313373595124,0.06437311830608204,0.5121031100417398,0.4878968899582602,47,20,False
fc5,128,0.024075105582797844,0.06437311830608204,0.7278056638758048,0.2721943361241952,47,20,False
fc5,256,0.00884415470347564,0.06437311830608204,0.8792067180333097,0.12079328196669026,47,20,False
fc5,512,0.0035750450117886445,0.06437311830608204,0.9473857005514028,0.05261429944859719,47,20,False
fc5,900,1.2552990175781618e-05,0.06437311830608204,0.9998050344133553,0.00019496558664466868,47,1,False
fc6,16,0.2614502214153756,0.058556443073703966,0.18298507366149633,0.8170149263385037,47,20,False
fc6,32,0.11193038753245438,0.058556443073703966,0.34346607808655444,0.6565339219134456,47,20,False
fc6,64,0.06096389343861077,0.058556443073703966,0.4899286998549458,0.5100713001450542,47,20,False
fc6,128,0.023906214718808702,0.058556443073703966,0.7100964805311029,0.28990351946889714,47,20,False
fc6,256,0.008753214817837661,0.058556443073703966,0.8699560346608504,0.13004396533914964,47,20,False
fc6,512,0.0035673636097163803,0.058556443073703966,0.9425765451255188,0.057423454874481195,47,20,False
fc6,900,1.2523185151980714e-05,0.058556443073703966,0.9997861805329357,0.00021381946706433563,47,1,False
fz,16,0.26128127356345493,0.06693683464145006,0.20394010253590797,0.796059897464092,46,20,False
fz,32,0.11205604548009357,0.06693683464145006,0.37396367160524574,0.6260363283947543,46,20,False
fz,64,0.06141758169969336,0.06693683464145006,0.5215000507932953,0.4784999492067047,46,20,False
fz,128,0.024176969162423775,0.06693683464145006,0.7346508635018061,0.2653491364981939,46,20,False
fz,256,0.008890721790426421,0.06693683464145006,0.8827507807347866,0.11724921926521337,46,20,False
fz,512,0.0036035910081738316,0.06693683464145006,0.9489145270249296,0.05108547297507038,46,20,False
fz,900,1.2647006828081707e-05,0.06693683464145006,0.9998110962696541,0.0001889037303458574,46,1,False
o1,16,0.2579876595584397,0.06792453389404975,0.2084136011436209,0.7915863988563792,47,20,False
o1,32,0.11044371963305105,0.06792453389404975,0.38081066866380164,0.6191893313361984,47,20,False
o1,64,0.060886217709747184,0.06792453389404975,0.5273203754215774,0.4726796245784226,47,20,False
o1,128,0.023785859058578936,0.06792453389404975,0.7406416187654425,0.25935838123455746,47,20,False
o1,256,0.008757199609214348,0.06792453389404975,0.8857981006801107,0.11420189931988933,47,20,False
o1,512,0.0035154577801023187,0.06792453389404975,0.9507914587093345,0.04920854129066554,47,20,False
o1,900,1.2502455100904517e-05,0.06792453389404975,0.9998159699661221,0.00018403003387790218,47,1,False
o2,16,0.2592060064442238,0.0698989345221857,0.21239102128618606,0.787608978713814,47,20,False
o2,32,0.11029237807527423,0.0698989345221857,0.38791511929510764,0.6120848807048924,47,20,False
o2,64,0.06094152449868751,0.0698989345221857,0.5342302759044478,0.4657697240955522,47,20,False
o2,128,0.023743218046985915,0.0698989345221857,0.7464473274528022,0.2535526725471978,47,20,False
o2,256,0.008728584839441111,0.0698989345221857,0.888988169659833,0.11101183034016704,47,20,False
o2,512,0.0035082571488833825,0.0698989345221857,0.9522082636725355,0.047791736327464474,47,20,False
o2,900,1.2511626703672531e-05,0.0698989345221857,0.9998210360764528,0.00017896392354721513,47,1,False
p3,16,0.2591715809046282,0.06666001266371681,0.20458425143396813,0.7954157485660318,47,20,False
p3,32,0.11056754146257541,0.06666001266371681,0.37612668635157565,0.6238733136484244,47,20,False
p3,64,0.06079849324166224,0.06666001266371681,0.5229938338772226,0.47700616612277735,47,20,False
p3,128,0.023659992784494054,0.06666001266371681,0.7380426111902684,0.26195738880973163,47,20,False
p3,256,0.008698400082427345,0.06666001266371681,0.8845729392983742,0.11542706070162578,47,20,False
p3,512,0.003527336828255692,0.06666001266371681,0.9497439801647002,0.050256019835299814,47,20,False
p3,900,1.2513673640433061e-05,0.06666001266371681,0.9998123113922951,0.00018768860770490559,47,1,False
p4,16,0.2596071006892646,0.0655022695903048,0.2014776428436308,0.7985223571563692,47,20,False
p4,32,0.11040273784982525,0.0655022695903048,0.37237296733919734,0.6276270326608027,47,20,False
p4,64,0.06066590797692959,0.0655022695903048,0.5191663290483766,0.48083367095162344,47,20,False
p4,128,0.023634345164954572,0.0655022695903048,0.7348525605347822,0.2651474394652178,47,20,False
p4,256,0.008699198014621164,0.0655022695903048,0.8827624534202118,0.11723754657978824,47,20,False
p4,512,0.003503219221582062,0.0655022695903048,0.9492327453670817,0.05076725463291831,47,20,False
p4,900,1.2524517441554293e-05,0.0655022695903048,0.9998088291719127,0.0001911708280872837,47,1,False
po3,16,0.2589528191616894,0.06523730128416963,0.20123161432078404,0.7987683856792159,47,20,False
po3,32,0.11038519037829786,0.06523730128416963,0.37146324862279345,0.6285367513772065,47,20,False
po3,64,0.060798980878397434,0.06523730128416963,0.5176073124723223,0.4823926875276777,47,20,False
po3,128,0.02366562863389013,0.06523730128416963,0.7338037266521776,0.26619627334782237,47,20,False
po3,256,0.008724147081500863,0.06523730128416963,0.8820446695639588,0.11795533043604123,47,20,False
po3,512,0.0035208122938548275,0.06523730128416963,0.9487942279006895,0.05120577209931054,47,20,False
po3,900,1.2509772550468566e-05,0.06523730128416963,0.9998082787927219,0.00019172120727806163,47,1,False
po4,16,0.2586259209283561,0.06533539110162702,0.20167652332381011,0.7983234766761899,47,20,False
po4,32,0.10999491033190771,0.06533539110162702,0.372641754262852,0.627358245737148,47,20,False
po4,64,0.06071364948343989,0.06533539110162702,0.5183331090690375,0.4816668909309625,47,20,False
po4,128,0.023809851369751205,0.06533539110162702,0.7329094552926275,0.2670905447073725,47,20,False
po4,256,0.008732176439921809,0.06533539110162702,0.8821052624008014,0.11789473759919855,47,20,False
po4,512,0.0035081874563863283,0.06533539110162702,0.9490411810386928,0.05095881896130716,47,20,False
po4,900,1.252361749983211e-05,0.06533539110162702,0.9998083547492884,0.00019164525071158067,47,1,False
pz,16,0.25929345505728757,0.06794654427490161,0.20763520478414207,0.7923647952158579,46,20,False
pz,32,0.11149364922016147,0.06794654427490161,0.37865844296902756,0.6213415570309724,46,20,False
pz,64,0.06124843205272288,0.06794654427490161,0.5259224948700522,0.47407750512994784,46,20,False
pz,128,0.023806194747358178,0.06794654427490161,0.7405396830542286,0.25946031694577143,46,20,False
pz,256,0.008764628009855226,0.06794654427490161,0.8857450909846566,0.11425490901534341,46,20,False
pz,512,0.0035536216376509614,0.06794654427490161,0.9502991134034964,0.049700886596503624,46,20,False
pz,900,1.2542394149384408e-05,0.06794654427490161,0.9998154419848156,0.0001845580151843551,46,1,False
