probe_seed,test_view,true_class,predicted_class,car_fraction,shifted_fraction,fraction_change
21,random_linear,left_fist,both_fists,0.2106430155210643,0.19955654101995565,-0.01108647450110864
21,random_linear,left_fist,both_feet,0.10199556541019955,0.08869179600886919,-0.013303769401330365
21,random_linear,right_fist,left_fist,0.10244988864142539,0.11358574610244988,0.011135857461024495
21,random_linear,right_fist,right_fist,0.46325167037861914,0.47884187082405344,0.015590200445434299
21,random_linear,right_fist,both_fists,0.2828507795100223,0.26948775055679286,-0.013363028953229439
21,random_linear,right_fist,both_feet,0.1514476614699332,0.13808463251670378,-0.013363028953229411
21,random_linear,both_fists,left_fist,0.1688888888888889,0.20444444444444446,0.03555555555555556
21,random_linear,both_fists,right_fist,0.08,0.08,0.0
21,random_linear,both_fists,both_fists,0.6133333333333333,0.5933333333333334,-0.019999999999999907
21,random_linear,both_fists,both_feet,0.13777777777777778,0.12222222222222222,-0.015555555555555559
21,random_linear,both_feet,left_fist,0.17880794701986755,0.1986754966887417,0.019867549668874163
21,random_linear,both_feet,right_fist,0.04194260485651214,0.04415011037527594,0.0022075055187638012
21,random_linear,both_feet,both_fists,0.2847682119205298,0.2803532008830022,-0.004415011037527616
21,random_linear,both_feet,both_feet,0.49448123620309054,0.4768211920529801,-0.01766004415011041
42,cz,left_fist,left_fist,0.6851441241685144,0.48337028824833705,-0.2017738359201774
42,cz,left_fist,right_fist,0.04212860310421286,0.05543237250554324,0.013303769401330379
42,cz,left_fist,both_fists,0.12416851441241686,0.2682926829268293,0.14412416851441243
42,cz,left_fist,both_feet,0.14855875831485588,0.19290465631929046,0.044345898004434586
42,cz,right_fist,left_fist,0.10467706013363029,0.0378619153674833,-0.066815144766147
42,cz,right_fist,right_fist,0.5701559020044543,0.534521158129176,-0.03563474387527832
42,cz,right_fist,both_fists,0.1447661469933185,0.22939866369710468,0.08463251670378619
42,cz,right_fist,both_feet,0.18040089086859687,0.19821826280623608,0.017817371937639215
42,cz,both_fists,left_fist,0.17777777777777778,0.051111111111111114,-0.12666666666666668
42,cz,both_fists,right_fist,0.13333333333333333,0.1288888888888889,-0.004444444444444445
42,cz,both_fists,both_fists,0.46444444444444444,0.5911111111111111,0.1266666666666667
42,cz,both_fists,both_feet,0.22444444444444445,0.2288888888888889,0.004444444444444445
